open_time_ms,open_time_iso,open,high,low,close,volume
1775483100000,2026-04-06T13:45:00+00:00,259.81000000,260.44000000,257.99000000,260.16000000,1380.10000000
1775484000000,2026-04-06T14:00:00+00:00,260.18000000,260.59000000,259.27000000,260.53000000,577.38000000
1775484900000,2026-04-06T14:15:00+00:00,260.28000000,262.44000000,260.28000000,262.27000000,765.62000000
1775485800000,2026-04-06T14:30:00+00:00,262.38000000,262.66000000,260.76000000,261.02000000,519.18000000
1775486700000,2026-04-06T14:45:00+00:00,261.01000000,261.01000000,260.20000000,260.64000000,562.61000000
1775487600000,2026-04-06T15:00:00+00:00,260.64000000,260.79000000,259.90000000,260.06000000,642.25000000
1775488500000,2026-04-06T15:15:00+00:00,260.06000000,260.38000000,259.30000000,259.69000000,270.67000000
1775489400000,2026-04-06T15:30:00+00:00,259.49000000,260.23000000,259.42000000,259.69000000,230.98000000
1775490300000,2026-04-06T15:45:00+00:00,259.62000000,260.00000000,259.57000000,259.99000000,80.27000000
1775491200000,2026-04-06T16:00:00+00:00,259.96000000,260.22000000,259.36000000,259.55000000,182.89000000
1775492100000,2026-04-06T16:15:00+00:00,259.55000000,259.73000000,259.27000000,259.59000000,140.41000000
1775493000000,2026-04-06T16:30:00+00:00,259.63000000,259.96000000,259.42000000,259.89000000,195.17000000
1775493900000,2026-04-06T16:45:00+00:00,259.93000000,260.03000000,259.31000000,259.48000000,206.74000000
1775494800000,2026-04-06T17:00:00+00:00,259.49000000,259.49000000,258.40000000,258.76000000,152.88000000
1775495700000,2026-04-06T17:15:00+00:00,258.79000000,259.38000000,258.54000000,259.35000000,140.01000000
1775496600000,2026-04-06T17:30:00+00:00,259.35000000,259.53000000,258.92000000,259.16000000,215.50000000
1775497500000,2026-04-06T17:45:00+00:00,259.13000000,259.13000000,258.66000000,258.70000000,47.84000000
1775498400000,2026-04-06T18:00:00+00:00,258.65000000,258.86000000,257.94000000,258.63000000,362.98000000
1775499300000,2026-04-06T18:15:00+00:00,258.50000000,259.70000000,258.50000000,259.70000000,95.05000000
1775500200000,2026-04-06T18:30:00+00:00,259.66000000,259.66000000,259.10000000,259.25000000,23.70000000
1775501100000,2026-04-06T18:45:00+00:00,259.30000000,259.54000000,259.03000000,259.46000000,75.41000000
1775502000000,2026-04-06T19:00:00+00:00,259.48000000,259.48000000,258.87000000,259.02000000,41.90000000
1775502900000,2026-04-06T19:15:00+00:00,258.95000000,259.02000000,258.35000000,258.56000000,41.64000000
1775503800000,2026-04-06T19:30:00+00:00,258.55000000,259.24000000,258.34000000,259.04000000,76.83000000
1775504700000,2026-04-06T19:45:00+00:00,259.06000000,259.28000000,258.68000000,258.94000000,31.21000000
