open_time_ms,open_time_iso,open,high,low,close,volume
1775480400000,2026-04-06T13:00:00+00:00,259.81000000,260.44000000,257.99000000,260.16000000,1380.10000000
1775484000000,2026-04-06T14:00:00+00:00,260.18000000,262.66000000,259.27000000,260.64000000,2424.79000000
1775487600000,2026-04-06T15:00:00+00:00,260.64000000,260.79000000,259.30000000,259.99000000,1224.17000000
1775491200000,2026-04-06T16:00:00+00:00,259.96000000,260.22000000,259.27000000,259.48000000,725.21000000
1775494800000,2026-04-06T17:00:00+00:00,259.49000000,259.53000000,258.40000000,258.70000000,556.23000000
1775498400000,2026-04-06T18:00:00+00:00,258.65000000,259.70000000,257.94000000,259.46000000,557.14000000
1775502000000,2026-04-06T19:00:00+00:00,259.48000000,259.48000000,258.34000000,258.94000000,191.58000000
1775505600000,2026-04-06T20:00:00+00:00,258.96000000,259.12000000,258.52000000,259.00000000,170.19000000
1775509200000,2026-04-06T21:00:00+00:00,259.00000000,259.19000000,258.35000000,258.44000000,61.18000000
1775512800000,2026-04-06T22:00:00+00:00,258.43000000,258.83000000,256.94000000,257.81000000,567.17000000
1775516400000,2026-04-06T23:00:00+00:00,257.81000000,258.48000000,257.51000000,258.29000000,187.42000000
1775520000000,2026-04-07T00:00:00+00:00,258.29000000,258.44000000,257.13000000,258.07000000,230.18000000
1775523600000,2026-04-07T01:00:00+00:00,258.07000000,258.11000000,256.89000000,256.95000000,86.14000000
1775527200000,2026-04-07T02:00:00+00:00,257.00000000,257.35000000,256.91000000,257.32000000,49.94000000
1775530800000,2026-04-07T03:00:00+00:00,257.29000000,257.50000000,257.16000000,257.39000000,28.10000000
1775534400000,2026-04-07T04:00:00+00:00,257.34000000,257.63000000,257.05000000,257.51000000,34.31000000
1775538000000,2026-04-07T05:00:00+00:00,257.51000000,257.67000000,257.17000000,257.42000000,46.93000000
1775541600000,2026-04-07T06:00:00+00:00,257.47000000,257.54000000,256.95000000,257.06000000,75.90000000
1775545200000,2026-04-07T07:00:00+00:00,257.07000000,257.26000000,256.95000000,257.05000000,104.80000000
1775548800000,2026-04-07T08:00:00+00:00,257.12000000,257.86000000,257.07000000,257.55000000,270.37000000
1775552400000,2026-04-07T09:00:00+00:00,257.62000000,258.14000000,257.40000000,257.58000000,719.09000000
1775556000000,2026-04-07T10:00:00+00:00,257.56000000,257.56000000,255.90000000,256.50000000,388.30000000
1775559600000,2026-04-07T11:00:00+00:00,256.44000000,256.74000000,256.09000000,256.67000000,189.17000000
1775563200000,2026-04-07T12:00:00+00:00,256.71000000,257.27000000,255.72000000,256.96000000,352.34000000
1775566800000,2026-04-07T13:00:00+00:00,256.96000000,257.03000000,249.22000000,249.50000000,1064.88000000
1775570400000,2026-04-07T14:00:00+00:00,249.50000000,249.98000000,246.28000000,246.44000000,1716.34000000
1775574000000,2026-04-07T15:00:00+00:00,246.38000000,248.90000000,245.99000000,248.89000000,2662.39000000
1775577600000,2026-04-07T16:00:00+00:00,248.82000000,250.59000000,248.76000000,250.30000000,1344.70000000
1775581200000,2026-04-07T17:00:00+00:00,250.26000000,253.15000000,250.15000000,251.86000000,1364.94000000
1775584800000,2026-04-07T18:00:00+00:00,251.92000000,252.18000000,250.43000000,250.67000000,390.48000000
1775588400000,2026-04-07T19:00:00+00:00,250.62000000,253.91000000,250.51000000,253.73000000,615.81000000
1775592000000,2026-04-07T20:00:00+00:00,253.77000000,254.00000000,253.08000000,253.43000000,274.28000000
1775595600000,2026-04-07T21:00:00+00:00,253.37000000,254.13000000,253.05000000,253.95000000,215.37000000
1775599200000,2026-04-07T22:00:00+00:00,254.04000000,258.57000000,254.03000000,258.43000000,1524.76000000
1775602800000,2026-04-07T23:00:00+00:00,258.58000000,259.37000000,257.91000000,259.23000000,778.86000000
1775606400000,2026-04-08T00:00:00+00:00,259.25000000,259.99000000,259.20000000,259.99000000,418.22000000
1775610000000,2026-04-08T01:00:00+00:00,259.89000000,260.00000000,259.18000000,259.48000000,128.60000000
1775613600000,2026-04-08T02:00:00+00:00,259.48000000,259.69000000,258.97000000,259.06000000,183.07000000
1775617200000,2026-04-08T03:00:00+00:00,259.09000000,259.60000000,258.83000000,259.00000000,340.38000000
1775620800000,2026-04-08T04:00:00+00:00,259.05000000,260.18000000,258.96000000,259.69000000,498.38000000
1775624400000,2026-04-08T05:00:00+00:00,259.61000000,260.08000000,259.36000000,259.86000000,103.64000000
1775628000000,2026-04-08T06:00:00+00:00,259.87000000,260.60000000,259.87000000,260.27000000,234.90000000
1775631600000,2026-04-08T07:00:00+00:00,260.30000000,260.30000000,259.30000000,259.43000000,281.50000000
1775635200000,2026-04-08T08:00:00+00:00,259.40000000,259.68000000,259.00000000,259.33000000,227.05000000
1775638800000,2026-04-08T09:00:00+00:00,259.46000000,259.96000000,258.98000000,259.07000000,307.88000000
1775642400000,2026-04-08T10:00:00+00:00,259.07000000,259.80000000,258.89000000,259.54000000,133.91000000
