open_time_ms,open_time_iso,open,high,low,close,volume
1778074200000,2026-05-06T13:30:00+00:00,412.15000000,431.44000000,408.45000000,429.30000000,6128.35000000
1778075100000,2026-05-06T13:45:00+00:00,429.50000000,432.00000000,413.82000000,414.26000000,3596.59000000
1778076000000,2026-05-06T14:00:00+00:00,414.02000000,419.56000000,412.00000000,416.85000000,1951.03000000
1778076900000,2026-05-06T14:15:00+00:00,416.45000000,416.71000000,405.46000000,409.61000000,3880.49000000
1778077800000,2026-05-06T14:30:00+00:00,409.17000000,414.22000000,408.02000000,411.62000000,2073.85000000
1778078700000,2026-05-06T14:45:00+00:00,411.77000000,415.34000000,410.90000000,411.24000000,1414.51000000
1778079600000,2026-05-06T15:00:00+00:00,411.08000000,413.26000000,408.13000000,411.73000000,1207.08000000
1778080500000,2026-05-06T15:15:00+00:00,411.90000000,418.70000000,411.65000000,418.41000000,1100.22000000
1778081400000,2026-05-06T15:30:00+00:00,418.55000000,420.13000000,415.14000000,416.06000000,799.95000000
1778082300000,2026-05-06T15:45:00+00:00,416.14000000,417.99000000,413.90000000,415.05000000,746.44000000
1778083200000,2026-05-06T16:00:00+00:00,415.31000000,417.47000000,414.88000000,415.58000000,1127.12000000
1778084100000,2026-05-06T16:15:00+00:00,415.55000000,415.57000000,412.04000000,413.36000000,956.68000000
1778085000000,2026-05-06T16:30:00+00:00,413.46000000,415.87000000,412.44000000,413.91000000,576.48000000
1778085900000,2026-05-06T16:45:00+00:00,413.80000000,414.19000000,411.32000000,412.53000000,299.87000000
1778086800000,2026-05-06T17:00:00+00:00,412.38000000,416.20000000,411.83000000,414.77000000,286.81000000
1778087700000,2026-05-06T17:15:00+00:00,414.97000000,416.18000000,414.77000000,414.93000000,327.81000000
1778088600000,2026-05-06T17:30:00+00:00,414.95000000,416.63000000,414.83000000,416.50000000,1431.05000000
1778089500000,2026-05-06T17:45:00+00:00,416.48000000,416.90000000,413.84000000,416.74000000,539.12000000
1778090400000,2026-05-06T18:00:00+00:00,416.90000000,418.56000000,416.17000000,417.94000000,340.55000000
1778091300000,2026-05-06T18:15:00+00:00,417.90000000,420.31000000,416.70000000,420.31000000,308.23000000
1778092200000,2026-05-06T18:30:00+00:00,420.31000000,423.29000000,419.78000000,422.81000000,465.87000000
1778093100000,2026-05-06T18:45:00+00:00,422.64000000,423.04000000,418.63000000,418.63000000,297.70000000
1778094000000,2026-05-06T19:00:00+00:00,418.60000000,419.93000000,417.19000000,418.91000000,246.59000000
1778094900000,2026-05-06T19:15:00+00:00,419.07000000,421.22000000,418.99000000,420.21000000,168.18000000
1778095800000,2026-05-06T19:30:00+00:00,419.98000000,420.00000000,417.00000000,417.00000000,216.18000000
1778096700000,2026-05-06T19:45:00+00:00,416.96000000,421.94000000,416.96000000,421.70000000,320.27000000
1778097600000,2026-05-06T20:00:00+00:00,421.72000000,423.26000000,420.47000000,423.18000000,232.62000000
1778098500000,2026-05-06T20:15:00+00:00,423.11000000,425.16000000,422.64000000,423.20000000,183.36000000
1778099400000,2026-05-06T20:30:00+00:00,423.29000000,423.30000000,420.80000000,420.86000000,472.60000000
1778100300000,2026-05-06T20:45:00+00:00,420.80000000,420.80000000,416.75000000,417.42000000,483.96000000
1778101200000,2026-05-06T21:00:00+00:00,417.41000000,419.51000000,417.39000000,417.99000000,48.14000000
1778102100000,2026-05-06T21:15:00+00:00,418.08000000,418.57000000,413.16000000,414.94000000,176.00000000
1778103000000,2026-05-06T21:30:00+00:00,414.96000000,415.87000000,413.27000000,413.73000000,206.86000000
1778103900000,2026-05-06T21:45:00+00:00,413.92000000,414.22000000,412.62000000,413.54000000,244.91000000
1778104800000,2026-05-06T22:00:00+00:00,413.84000000,416.31000000,413.78000000,415.61000000,157.33000000
1778105700000,2026-05-06T22:15:00+00:00,414.77000000,415.87000000,414.70000000,414.94000000,76.57000000
1778106600000,2026-05-06T22:30:00+00:00,414.88000000,416.37000000,414.33000000,415.49000000,132.54000000
1778107500000,2026-05-06T22:45:00+00:00,415.49000000,416.80000000,414.99000000,416.13000000,91.23000000
1778108400000,2026-05-06T23:00:00+00:00,416.00000000,417.47000000,415.88000000,416.82000000,84.58000000
1778109300000,2026-05-06T23:15:00+00:00,416.68000000,417.19000000,416.01000000,416.82000000,78.44000000
1778110200000,2026-05-06T23:30:00+00:00,416.97000000,417.21000000,415.72000000,415.72000000,169.75000000
1778111100000,2026-05-06T23:45:00+00:00,415.56000000,416.34000000,415.15000000,415.50000000,57.53000000
1778112000000,2026-05-07T00:00:00+00:00,415.50000000,416.58000000,415.30000000,416.22000000,70.85000000
1778112900000,2026-05-07T00:15:00+00:00,416.07000000,416.28000000,413.51000000,413.61000000,64.05000000
1778113800000,2026-05-07T00:30:00+00:00,413.75000000,415.43000000,413.50000000,415.15000000,51.36000000
1778114700000,2026-05-07T00:45:00+00:00,415.34000000,416.38000000,415.28000000,415.67000000,52.09000000
1778115600000,2026-05-07T01:00:00+00:00,415.80000000,416.31000000,414.18000000,415.97000000,158.69000000
1778116500000,2026-05-07T01:15:00+00:00,416.08000000,416.86000000,415.62000000,415.86000000,178.42000000
1778117400000,2026-05-07T01:30:00+00:00,415.91000000,417.84000000,415.41000000,417.57000000,96.66000000
1778118300000,2026-05-07T01:45:00+00:00,417.83000000,418.72000000,417.00000000,418.14000000,67.18000000
1778119200000,2026-05-07T02:00:00+00:00,418.16000000,418.59000000,417.15000000,417.31000000,96.51000000
1778120100000,2026-05-07T02:15:00+00:00,417.38000000,418.25000000,417.20000000,417.87000000,88.93000000
1778121000000,2026-05-07T02:30:00+00:00,417.68000000,418.07000000,416.59000000,416.77000000,69.96000000
1778121900000,2026-05-07T02:45:00+00:00,416.82000000,418.29000000,416.67000000,417.59000000,119.21000000
1778122800000,2026-05-07T03:00:00+00:00,418.10000000,418.13000000,417.19000000,417.28000000,60.58000000
1778123700000,2026-05-07T03:15:00+00:00,417.40000000,417.99000000,416.87000000,417.93000000,28.97000000
1778124600000,2026-05-07T03:30:00+00:00,417.73000000,419.09000000,417.63000000,418.84000000,144.12000000
1778125500000,2026-05-07T03:45:00+00:00,419.04000000,419.22000000,418.08000000,418.53000000,128.06000000
1778126400000,2026-05-07T04:00:00+00:00,418.68000000,419.79000000,418.46000000,419.56000000,78.32000000
1778127300000,2026-05-07T04:15:00+00:00,419.54000000,419.87000000,418.21000000,419.66000000,138.73000000
1778128200000,2026-05-07T04:30:00+00:00,419.49000000,420.49000000,419.45000000,420.07000000,114.34000000
1778129100000,2026-05-07T04:45:00+00:00,420.10000000,421.00000000,419.44000000,419.50000000,280.94000000
1778130000000,2026-05-07T05:00:00+00:00,419.90000000,420.52000000,419.22000000,419.66000000,65.99000000
1778130900000,2026-05-07T05:15:00+00:00,419.63000000,420.90000000,419.38000000,420.00000000,57.85000000
1778131800000,2026-05-07T05:30:00+00:00,420.30000000,424.50000000,420.00000000,422.91000000,325.74000000
1778132700000,2026-05-07T05:45:00+00:00,422.77000000,422.97000000,421.04000000,421.55000000,104.96000000
1778133600000,2026-05-07T06:00:00+00:00,420.92000000,421.79000000,420.00000000,420.25000000,76.34000000
1778134500000,2026-05-07T06:15:00+00:00,420.00000000,420.46000000,418.52000000,419.94000000,107.30000000
1778135400000,2026-05-07T06:30:00+00:00,420.04000000,420.84000000,418.89000000,420.72000000,156.43000000
1778136300000,2026-05-07T06:45:00+00:00,420.72000000,421.22000000,420.01000000,421.00000000,81.61000000
1778137200000,2026-05-07T07:00:00+00:00,421.00000000,423.26000000,419.74000000,422.63000000,95.66000000
1778138100000,2026-05-07T07:15:00+00:00,423.26000000,423.46000000,421.52000000,422.40000000,59.92000000
1778139000000,2026-05-07T07:30:00+00:00,422.97000000,425.67000000,422.42000000,425.05000000,181.34000000
1778139900000,2026-05-07T07:45:00+00:00,425.00000000,425.33000000,423.04000000,423.66000000,175.26000000
1778140800000,2026-05-07T08:00:00+00:00,423.69000000,427.58000000,423.05000000,423.22000000,542.03000000
1778141700000,2026-05-07T08:15:00+00:00,423.31000000,424.59000000,421.74000000,422.16000000,630.00000000
1778142600000,2026-05-07T08:30:00+00:00,422.15000000,423.06000000,422.15000000,422.15000000,396.93000000
1778143500000,2026-05-07T08:45:00+00:00,422.15000000,422.43000000,420.97000000,421.36000000,487.06000000
1778144400000,2026-05-07T09:00:00+00:00,421.62000000,421.64000000,417.15000000,419.62000000,428.43000000
1778145300000,2026-05-07T09:15:00+00:00,419.40000000,421.32000000,418.41000000,419.99000000,284.32000000
1778146200000,2026-05-07T09:30:00+00:00,420.09000000,421.13000000,418.90000000,419.27000000,313.32000000
1778147100000,2026-05-07T09:45:00+00:00,418.92000000,420.15000000,417.00000000,417.54000000,290.80000000
1778148000000,2026-05-07T10:00:00+00:00,417.45000000,417.47000000,415.08000000,416.48000000,322.74000000
1778148900000,2026-05-07T10:15:00+00:00,416.62000000,417.07000000,414.14000000,416.27000000,143.63000000
1778149800000,2026-05-07T10:30:00+00:00,416.27000000,418.03000000,415.19000000,418.03000000,222.69000000
1778150700000,2026-05-07T10:45:00+00:00,418.03000000,418.18000000,416.42000000,416.71000000,102.99000000
1778151600000,2026-05-07T11:00:00+00:00,416.98000000,417.19000000,414.59000000,414.59000000,153.52000000
1778152500000,2026-05-07T11:15:00+00:00,414.43000000,415.80000000,414.25000000,414.94000000,358.72000000
1778153400000,2026-05-07T11:30:00+00:00,414.94000000,416.23000000,413.89000000,416.20000000,183.36000000
1778154300000,2026-05-07T11:45:00+00:00,416.09000000,416.15000000,414.95000000,415.57000000,224.34000000
1778155200000,2026-05-07T12:00:00+00:00,415.58000000,415.58000000,413.70000000,413.79000000,314.82000000
1778156100000,2026-05-07T12:15:00+00:00,413.79000000,414.15000000,412.75000000,413.97000000,214.19000000
1778157000000,2026-05-07T12:30:00+00:00,413.93000000,415.50000000,413.01000000,414.39000000,357.30000000
1778157900000,2026-05-07T12:45:00+00:00,414.28000000,414.82000000,413.37000000,413.44000000,131.71000000
1778158800000,2026-05-07T13:00:00+00:00,413.36000000,415.02000000,412.10000000,414.41000000,140.78000000
1778159700000,2026-05-07T13:15:00+00:00,414.91000000,417.64000000,414.41000000,417.43000000,1094.40000000
1778160600000,2026-05-07T13:30:00+00:00,417.41000000,419.95000000,410.65000000,411.24000000,2812.77000000
1778161500000,2026-05-07T13:45:00+00:00,411.47000000,418.50000000,411.42000000,415.84000000,1486.60000000
1778162400000,2026-05-07T14:00:00+00:00,415.83000000,418.00000000,412.36000000,416.55000000,1144.41000000
1778163300000,2026-05-07T14:15:00+00:00,416.68000000,421.89000000,416.68000000,419.53000000,1365.52000000
1778164200000,2026-05-07T14:30:00+00:00,419.29000000,421.58000000,418.64000000,419.89000000,593.35000000
1778165100000,2026-05-07T14:45:00+00:00,419.87000000,420.92000000,415.00000000,415.00000000,1016.67000000
1778166000000,2026-05-07T15:00:00+00:00,415.00000000,415.16000000,411.58000000,412.24000000,395.12000000
1778166900000,2026-05-07T15:15:00+00:00,412.06000000,413.44000000,411.18000000,411.85000000,287.40000000
1778167800000,2026-05-07T15:30:00+00:00,411.87000000,412.95000000,410.42000000,411.47000000,376.35000000
1778168700000,2026-05-07T15:45:00+00:00,411.39000000,411.39000000,406.73000000,407.61000000,456.56000000
1778169600000,2026-05-07T16:00:00+00:00,407.74000000,409.16000000,404.70000000,405.07000000,1128.19000000
1778170500000,2026-05-07T16:15:00+00:00,405.04000000,408.10000000,403.11000000,407.24000000,571.74000000
1778171400000,2026-05-07T16:30:00+00:00,406.99000000,409.25000000,406.56000000,407.16000000,206.24000000
1778172300000,2026-05-07T16:45:00+00:00,407.20000000,408.14000000,405.78000000,407.59000000,222.12000000
1778173200000,2026-05-07T17:00:00+00:00,407.59000000,407.69000000,403.87000000,404.33000000,318.11000000
1778174100000,2026-05-07T17:15:00+00:00,404.27000000,405.00000000,399.65000000,403.51000000,1245.27000000
1778175000000,2026-05-07T17:30:00+00:00,403.66000000,407.92000000,402.99000000,406.52000000,333.13000000
1778175900000,2026-05-07T17:45:00+00:00,406.54000000,408.23000000,404.42000000,408.13000000,423.93000000
1778176800000,2026-05-07T18:00:00+00:00,408.23000000,409.28000000,406.38000000,406.56000000,259.35000000
1778177700000,2026-05-07T18:15:00+00:00,406.33000000,407.88000000,405.01000000,405.63000000,245.89000000
