open_time_ms,open_time_iso,open,high,low,close,volume
1770647400000,2026-02-09T14:30:00+00:00,203.50000000,207.55000000,203.50000000,206.91000000,6282.13000000
1770648300000,2026-02-09T14:45:00+00:00,206.78000000,206.94000000,204.19000000,204.95000000,4197.31000000
1770649200000,2026-02-09T15:00:00+00:00,204.99000000,206.99000000,204.93000000,206.77000000,2081.95000000
1770650100000,2026-02-09T15:15:00+00:00,206.82000000,207.26000000,206.41000000,207.18000000,1233.71000000
1770651000000,2026-02-09T15:30:00+00:00,207.18000000,209.35000000,207.06000000,208.24000000,1986.59000000
1770651900000,2026-02-09T15:45:00+00:00,208.20000000,209.56000000,208.19000000,209.11000000,1075.25000000
1770652800000,2026-02-09T16:00:00+00:00,209.11000000,210.23000000,209.05000000,209.84000000,1401.07000000
1770653700000,2026-02-09T16:15:00+00:00,209.89000000,210.07000000,208.79000000,209.69000000,1880.09000000
1770654600000,2026-02-09T16:30:00+00:00,209.70000000,210.42000000,209.57000000,210.17000000,512.02000000
1770655500000,2026-02-09T16:45:00+00:00,210.21000000,212.18000000,210.14000000,212.04000000,852.37000000
1770656400000,2026-02-09T17:00:00+00:00,211.98000000,212.96000000,210.52000000,210.57000000,1536.20000000
1770657300000,2026-02-09T17:15:00+00:00,210.57000000,211.28000000,209.41000000,210.26000000,1063.98000000
1770658200000,2026-02-09T17:30:00+00:00,210.26000000,210.50000000,209.57000000,209.62000000,1240.24000000
1770659100000,2026-02-09T17:45:00+00:00,209.58000000,210.22000000,209.48000000,210.04000000,611.97000000
1770660000000,2026-02-09T18:00:00+00:00,210.04000000,211.40000000,209.80000000,211.18000000,1371.18000000
1770660900000,2026-02-09T18:15:00+00:00,211.18000000,211.54000000,210.40000000,210.49000000,490.42000000
1770661800000,2026-02-09T18:30:00+00:00,210.49000000,210.76000000,209.82000000,210.39000000,722.99000000
1770662700000,2026-02-09T18:45:00+00:00,210.40000000,210.60000000,209.64000000,209.87000000,736.48000000
1770663600000,2026-02-09T19:00:00+00:00,209.85000000,210.04000000,209.41000000,209.67000000,491.18000000
1770664500000,2026-02-09T19:15:00+00:00,209.70000000,209.70000000,209.02000000,209.24000000,560.95000000
1770665400000,2026-02-09T19:30:00+00:00,209.23000000,209.35000000,208.62000000,208.98000000,999.09000000
