open_time_ms,open_time_iso,open,high,low,close,volume
1779802200000,2026-05-26T13:30:00+00:00,302.21000000,308.00000000,301.12000000,305.31000000,1349.26000000
1779803100000,2026-05-26T13:45:00+00:00,304.16000000,307.78000000,298.00000000,306.39000000,1311.40000000
1779804000000,2026-05-26T14:00:00+00:00,307.35000000,311.98000000,305.22000000,311.98000000,806.28000000
1779804900000,2026-05-26T14:15:00+00:00,311.98000000,314.17000000,308.72000000,312.63000000,779.38000000
1779805800000,2026-05-26T14:30:00+00:00,312.61000000,316.69000000,312.20000000,312.76000000,728.44000000
1779806700000,2026-05-26T14:45:00+00:00,313.32000000,318.56000000,310.82000000,317.52000000,879.20000000
1779807600000,2026-05-26T15:00:00+00:00,317.53000000,318.24000000,314.49000000,316.37000000,938.29000000
1779808500000,2026-05-26T15:15:00+00:00,316.38000000,320.65000000,314.14000000,318.75000000,471.93000000
1779809400000,2026-05-26T15:30:00+00:00,318.72000000,319.44000000,316.85000000,317.52000000,438.76000000
1779810300000,2026-05-26T15:45:00+00:00,317.36000000,317.96000000,312.33000000,316.94000000,777.82000000
1779811200000,2026-05-26T16:00:00+00:00,316.85000000,320.00000000,316.45000000,319.80000000,500.91000000
1779812100000,2026-05-26T16:15:00+00:00,319.70000000,322.31000000,318.25000000,320.24000000,502.45000000
1779813000000,2026-05-26T16:30:00+00:00,320.09000000,321.25000000,317.40000000,317.41000000,328.39000000
1779813900000,2026-05-26T16:45:00+00:00,317.57000000,319.26000000,316.59000000,318.33000000,211.73000000
1779814800000,2026-05-26T17:00:00+00:00,318.46000000,321.10000000,316.46000000,316.97000000,210.55000000
1779815700000,2026-05-26T17:15:00+00:00,316.89000000,318.11000000,315.77000000,316.92000000,333.74000000
1779816600000,2026-05-26T17:30:00+00:00,316.87000000,318.26000000,314.17000000,316.12000000,309.61000000
1779817500000,2026-05-26T17:45:00+00:00,316.25000000,317.46000000,315.70000000,316.84000000,122.36000000
1779818400000,2026-05-26T18:00:00+00:00,316.82000000,318.88000000,316.10000000,317.07000000,78.32000000
1779819300000,2026-05-26T18:15:00+00:00,317.50000000,318.08000000,316.71000000,317.05000000,30.03000000
1779820200000,2026-05-26T18:30:00+00:00,317.05000000,318.78000000,316.71000000,317.38000000,64.77000000
1779821100000,2026-05-26T18:45:00+00:00,317.28000000,318.65000000,316.73000000,317.40000000,46.08000000
1779822000000,2026-05-26T19:00:00+00:00,317.44000000,320.93000000,317.10000000,319.85000000,176.43000000
1779822900000,2026-05-26T19:15:00+00:00,319.85000000,320.28000000,318.35000000,318.77000000,157.31000000
1779823800000,2026-05-26T19:30:00+00:00,318.50000000,321.60000000,318.50000000,321.07000000,84.41000000
1779824700000,2026-05-26T19:45:00+00:00,321.08000000,322.69000000,319.74000000,322.05000000,142.94000000
1779825600000,2026-05-26T20:00:00+00:00,322.04000000,322.18000000,319.02000000,320.22000000,135.28000000
