open_time_ms,open_time_iso,open,high,low,close,volume
1779800400000,2026-05-26T13:00:00+00:00,302.21000000,308.00000000,298.00000000,306.39000000,2660.66000000
1779804000000,2026-05-26T14:00:00+00:00,307.35000000,318.56000000,305.22000000,317.52000000,3193.30000000
1779807600000,2026-05-26T15:00:00+00:00,317.53000000,320.65000000,312.33000000,316.94000000,2626.80000000
1779811200000,2026-05-26T16:00:00+00:00,316.85000000,322.31000000,316.45000000,318.33000000,1543.48000000
1779814800000,2026-05-26T17:00:00+00:00,318.46000000,321.10000000,314.17000000,316.84000000,976.26000000
1779818400000,2026-05-26T18:00:00+00:00,316.82000000,318.88000000,316.10000000,317.40000000,219.20000000
1779822000000,2026-05-26T19:00:00+00:00,317.44000000,322.69000000,317.10000000,322.05000000,561.09000000
1779825600000,2026-05-26T20:00:00+00:00,322.04000000,322.18000000,319.02000000,321.30000000,337.53000000
1779829200000,2026-05-26T21:00:00+00:00,320.54000000,321.26000000,319.00000000,320.73000000,233.76000000
1779832800000,2026-05-26T22:00:00+00:00,320.83000000,321.22000000,319.59000000,320.51000000,87.12000000
1779836400000,2026-05-26T23:00:00+00:00,320.58000000,322.65000000,319.83000000,322.45000000,346.53000000
1779840000000,2026-05-27T00:00:00+00:00,322.40000000,323.65000000,317.17000000,320.21000000,670.27000000
1779843600000,2026-05-27T01:00:00+00:00,320.58000000,322.11000000,318.87000000,320.20000000,209.47000000
1779847200000,2026-05-27T02:00:00+00:00,319.86000000,322.47000000,319.59000000,321.93000000,194.76000000
1779850800000,2026-05-27T03:00:00+00:00,321.65000000,322.01000000,319.75000000,320.72000000,184.89000000
1779854400000,2026-05-27T04:00:00+00:00,320.73000000,321.09000000,315.70000000,317.22000000,515.73000000
1779858000000,2026-05-27T05:00:00+00:00,317.18000000,317.86000000,313.55000000,316.69000000,523.09000000
1779861600000,2026-05-27T06:00:00+00:00,316.66000000,317.59000000,314.38000000,315.72000000,254.33000000
1779865200000,2026-05-27T07:00:00+00:00,315.94000000,320.18000000,315.94000000,319.43000000,442.59000000
1779868800000,2026-05-27T08:00:00+00:00,319.42000000,320.83000000,317.84000000,319.80000000,693.21000000
1779872400000,2026-05-27T09:00:00+00:00,319.79000000,320.70000000,317.56000000,318.83000000,319.88000000
1779876000000,2026-05-27T10:00:00+00:00,318.61000000,318.77000000,316.44000000,317.41000000,643.19000000
1779879600000,2026-05-27T11:00:00+00:00,317.18000000,323.37000000,317.18000000,320.77000000,688.61000000
1779883200000,2026-05-27T12:00:00+00:00,320.63000000,323.35000000,318.04000000,319.62000000,1036.06000000
1779886800000,2026-05-27T13:00:00+00:00,319.32000000,323.33000000,308.91000000,311.93000000,1906.68000000
