open_time_ms,open_time_iso,open,high,low,close,volume
1776691800000,2026-04-20T13:30:00+00:00,403.21000000,404.26000000,400.79000000,403.09000000,412.03000000
1776692700000,2026-04-20T13:45:00+00:00,403.06000000,403.68000000,401.00000000,401.83000000,370.46000000
1776693600000,2026-04-20T14:00:00+00:00,401.87000000,402.85000000,392.80000000,399.95000000,257.70000000
1776694500000,2026-04-20T14:15:00+00:00,399.95000000,400.49000000,398.07000000,399.06000000,114.18000000
1776695400000,2026-04-20T14:30:00+00:00,399.01000000,400.62000000,398.24000000,399.99000000,100.29000000
1776696300000,2026-04-20T14:45:00+00:00,399.13000000,399.98000000,397.27000000,397.41000000,120.01000000
1776697200000,2026-04-20T15:00:00+00:00,397.41000000,398.88000000,395.24000000,396.22000000,111.56000000
1776698100000,2026-04-20T15:15:00+00:00,396.79000000,398.49000000,395.67000000,398.21000000,57.39000000
1776699000000,2026-04-20T15:30:00+00:00,398.88000000,398.88000000,397.15000000,397.15000000,35.72000000
1776699900000,2026-04-20T15:45:00+00:00,397.49000000,397.56000000,396.44000000,396.78000000,22.88000000
1776700800000,2026-04-20T16:00:00+00:00,396.78000000,398.00000000,396.44000000,397.28000000,31.50000000
1776701700000,2026-04-20T16:15:00+00:00,397.28000000,398.20000000,397.28000000,398.15000000,54.60000000
1776702600000,2026-04-20T16:30:00+00:00,398.15000000,398.69000000,396.80000000,397.73000000,35.09000000
1776703500000,2026-04-20T16:45:00+00:00,397.73000000,398.21000000,397.04000000,397.43000000,8.18000000
1776704400000,2026-04-20T17:00:00+00:00,397.66000000,398.08000000,396.55000000,397.85000000,8.09000000
1776705300000,2026-04-20T17:15:00+00:00,397.59000000,397.99000000,396.60000000,397.52000000,23.69000000
1776706200000,2026-04-20T17:30:00+00:00,397.52000000,397.96000000,396.46000000,396.92000000,6.41000000
1776707100000,2026-04-20T17:45:00+00:00,397.34000000,397.48000000,396.47000000,396.99000000,5.62000000
1776708000000,2026-04-20T18:00:00+00:00,396.72000000,397.68000000,395.96000000,396.41000000,402.16000000
1776708900000,2026-04-20T18:15:00+00:00,396.40000000,397.40000000,396.03000000,397.14000000,95.72000000
1776709800000,2026-04-20T18:30:00+00:00,397.18000000,397.94000000,396.51000000,397.92000000,47.41000000
1776710700000,2026-04-20T18:45:00+00:00,398.11000000,398.80000000,397.64000000,398.32000000,160.01000000
1776711600000,2026-04-20T19:00:00+00:00,398.42000000,399.25000000,397.95000000,399.07000000,208.75000000
1776712500000,2026-04-20T19:15:00+00:00,398.99000000,399.19000000,397.71000000,398.79000000,107.62000000
1776713400000,2026-04-20T19:30:00+00:00,398.83000000,399.41000000,398.03000000,399.03000000,89.14000000
1776714300000,2026-04-20T19:45:00+00:00,398.83000000,399.79000000,397.86000000,399.79000000,195.46000000
1776715200000,2026-04-20T20:00:00+00:00,399.80000000,402.00000000,398.82000000,399.63000000,105.32000000
1776716100000,2026-04-20T20:15:00+00:00,399.63000000,399.80000000,399.33000000,399.42000000,13.07000000
1776717000000,2026-04-20T20:30:00+00:00,399.32000000,400.93000000,399.25000000,400.10000000,157.13000000
1776717900000,2026-04-20T20:45:00+00:00,400.10000000,400.28000000,399.90000000,399.90000000,23.03000000
1776718800000,2026-04-20T21:00:00+00:00,400.05000000,400.83000000,399.71000000,399.71000000,20.51000000
1776719700000,2026-04-20T21:15:00+00:00,399.98000000,401.30000000,398.80000000,399.54000000,880.50000000
1776720600000,2026-04-20T21:30:00+00:00,399.54000000,401.29000000,398.79000000,399.78000000,502.02000000
1776721500000,2026-04-20T21:45:00+00:00,399.59000000,401.38000000,398.20000000,399.72000000,157.92000000
1776722400000,2026-04-20T22:00:00+00:00,400.07000000,404.24000000,397.60000000,400.16000000,77.58000000
1776723300000,2026-04-20T22:15:00+00:00,400.22000000,400.39000000,399.22000000,400.39000000,5.57000000
1776724200000,2026-04-20T22:30:00+00:00,400.43000000,400.53000000,399.90000000,399.90000000,8.65000000
1776725100000,2026-04-20T22:45:00+00:00,400.53000000,401.49000000,398.55000000,400.45000000,50.39000000
1776726000000,2026-04-20T23:00:00+00:00,400.45000000,402.28000000,399.93000000,400.55000000,47.56000000
1776726900000,2026-04-20T23:15:00+00:00,400.55000000,400.80000000,399.94000000,399.97000000,9.34000000
1776727800000,2026-04-20T23:30:00+00:00,400.30000000,400.86000000,399.48000000,400.10000000,111.43000000
1776728700000,2026-04-20T23:45:00+00:00,400.28000000,400.58000000,399.98000000,399.98000000,5.67000000
1776729600000,2026-04-21T00:00:00+00:00,398.65000000,401.63000000,398.56000000,401.63000000,10.84000000
1776730500000,2026-04-21T00:15:00+00:00,401.63000000,402.24000000,400.44000000,400.64000000,51.63000000
1776731400000,2026-04-21T00:30:00+00:00,400.55000000,400.92000000,400.11000000,400.77000000,19.90000000
1776732300000,2026-04-21T00:45:00+00:00,400.66000000,401.34000000,400.59000000,401.21000000,8.26000000
1776733200000,2026-04-21T01:00:00+00:00,401.19000000,401.43000000,400.86000000,400.91000000,6.75000000
1776734100000,2026-04-21T01:15:00+00:00,400.88000000,401.14000000,400.77000000,400.89000000,2.84000000
1776735000000,2026-04-21T01:30:00+00:00,400.95000000,401.31000000,400.43000000,401.14000000,21.98000000
1776735900000,2026-04-21T01:45:00+00:00,400.62000000,401.46000000,400.17000000,400.82000000,216.45000000
1776736800000,2026-04-21T02:00:00+00:00,400.60000000,400.90000000,400.25000000,400.64000000,25.65000000
1776737700000,2026-04-21T02:15:00+00:00,400.75000000,401.26000000,400.37000000,400.75000000,76.58000000
1776738600000,2026-04-21T02:30:00+00:00,401.03000000,401.04000000,400.23000000,400.47000000,10.25000000
1776739500000,2026-04-21T02:45:00+00:00,400.67000000,400.84000000,400.22000000,400.43000000,34.56000000
1776740400000,2026-04-21T03:00:00+00:00,400.43000000,400.45000000,400.13000000,400.15000000,7.52000000
1776741300000,2026-04-21T03:15:00+00:00,400.26000000,400.39000000,400.00000000,400.10000000,10.18000000
1776742200000,2026-04-21T03:30:00+00:00,400.07000000,400.43000000,399.68000000,399.95000000,19.40000000
1776743100000,2026-04-21T03:45:00+00:00,399.96000000,400.44000000,399.87000000,400.26000000,23.12000000
1776744000000,2026-04-21T04:00:00+00:00,400.43000000,400.78000000,400.07000000,400.63000000,3.24000000
1776744900000,2026-04-21T04:15:00+00:00,400.10000000,400.73000000,400.08000000,400.73000000,7.63000000
1776745800000,2026-04-21T04:30:00+00:00,400.73000000,401.47000000,400.46000000,400.94000000,7.23000000
1776746700000,2026-04-21T04:45:00+00:00,400.46000000,400.94000000,400.46000000,400.75000000,1.08000000
1776747600000,2026-04-21T05:00:00+00:00,400.45000000,400.76000000,400.01000000,400.76000000,2.62000000
1776748500000,2026-04-21T05:15:00+00:00,400.07000000,400.74000000,400.07000000,400.41000000,3.12000000
1776749400000,2026-04-21T05:30:00+00:00,400.69000000,400.75000000,400.69000000,400.73000000,0.19000000
1776750300000,2026-04-21T05:45:00+00:00,400.10000000,400.75000000,400.10000000,400.27000000,25.99000000
1776751200000,2026-04-21T06:00:00+00:00,400.59000000,401.36000000,400.00000000,400.00000000,1.45000000
1776752100000,2026-04-21T06:15:00+00:00,401.30000000,401.36000000,399.30000000,399.70000000,26.17000000
1776753000000,2026-04-21T06:30:00+00:00,400.25000000,401.07000000,399.96000000,400.70000000,9.58000000
1776753900000,2026-04-21T06:45:00+00:00,400.00000000,401.40000000,399.84000000,399.84000000,3.34000000
1776754800000,2026-04-21T07:00:00+00:00,399.21000000,399.99000000,397.80000000,399.63000000,24.31000000
1776755700000,2026-04-21T07:15:00+00:00,398.26000000,399.95000000,397.46000000,399.63000000,4.30000000
1776756600000,2026-04-21T07:30:00+00:00,397.49000000,398.62000000,397.49000000,398.62000000,11.48000000
1776757500000,2026-04-21T07:45:00+00:00,398.62000000,400.05000000,398.04000000,399.89000000,7.20000000
1776758400000,2026-04-21T08:00:00+00:00,399.43000000,402.12000000,397.34000000,399.39000000,2.68000000
1776759300000,2026-04-21T08:15:00+00:00,399.39000000,399.68000000,397.52000000,398.72000000,18.63000000
1776760200000,2026-04-21T08:30:00+00:00,398.92000000,402.32000000,398.31000000,399.48000000,28.23000000
1776761100000,2026-04-21T08:45:00+00:00,399.45000000,399.97000000,398.98000000,399.38000000,2.41000000
1776762000000,2026-04-21T09:00:00+00:00,399.07000000,399.31000000,398.40000000,398.41000000,4.29000000
1776762900000,2026-04-21T09:15:00+00:00,398.41000000,399.34000000,398.40000000,399.34000000,4.71000000
1776763800000,2026-04-21T09:30:00+00:00,398.80000000,400.35000000,398.19000000,398.19000000,5.50000000
1776764700000,2026-04-21T09:45:00+00:00,398.53000000,399.24000000,397.37000000,398.46000000,3.30000000
1776765600000,2026-04-21T10:00:00+00:00,398.45000000,399.82000000,397.43000000,398.47000000,60.53000000
1776766500000,2026-04-21T10:15:00+00:00,398.46000000,398.93000000,398.31000000,398.92000000,2.19000000
1776767400000,2026-04-21T10:30:00+00:00,398.76000000,399.13000000,398.65000000,399.13000000,25.58000000
1776768300000,2026-04-21T10:45:00+00:00,398.98000000,399.69000000,398.98000000,399.42000000,1.64000000
1776769200000,2026-04-21T11:00:00+00:00,399.24000000,400.46000000,399.00000000,399.86000000,5.17000000
1776770100000,2026-04-21T11:15:00+00:00,399.91000000,400.44000000,399.76000000,400.36000000,4.93000000
1776771000000,2026-04-21T11:30:00+00:00,400.32000000,401.39000000,400.20000000,400.20000000,11.34000000
1776771900000,2026-04-21T11:45:00+00:00,400.26000000,400.89000000,400.11000000,400.11000000,4.46000000
