open_time_ms,open_time_iso,open,high,low,close,volume
1776690000000,2026-04-20T13:00:00+00:00,403.21000000,404.26000000,400.79000000,401.83000000,782.49000000
1776693600000,2026-04-20T14:00:00+00:00,401.87000000,402.85000000,392.80000000,397.41000000,592.18000000
1776697200000,2026-04-20T15:00:00+00:00,397.41000000,398.88000000,395.24000000,396.78000000,227.55000000
1776700800000,2026-04-20T16:00:00+00:00,396.78000000,398.69000000,396.44000000,397.43000000,129.37000000
1776704400000,2026-04-20T17:00:00+00:00,397.66000000,398.08000000,396.46000000,396.99000000,43.81000000
1776708000000,2026-04-20T18:00:00+00:00,396.72000000,398.80000000,395.96000000,398.32000000,705.30000000
1776711600000,2026-04-20T19:00:00+00:00,398.42000000,399.79000000,397.71000000,399.79000000,600.97000000
1776715200000,2026-04-20T20:00:00+00:00,399.80000000,402.00000000,398.82000000,399.90000000,298.55000000
1776718800000,2026-04-20T21:00:00+00:00,400.05000000,401.38000000,398.20000000,399.72000000,1560.95000000
1776722400000,2026-04-20T22:00:00+00:00,400.07000000,404.24000000,397.60000000,400.45000000,142.19000000
1776726000000,2026-04-20T23:00:00+00:00,400.45000000,402.28000000,399.48000000,399.98000000,174.00000000
1776729600000,2026-04-21T00:00:00+00:00,398.65000000,402.24000000,398.56000000,401.21000000,90.63000000
1776733200000,2026-04-21T01:00:00+00:00,401.19000000,401.46000000,400.17000000,400.82000000,248.02000000
1776736800000,2026-04-21T02:00:00+00:00,400.60000000,401.26000000,400.22000000,400.43000000,147.04000000
1776740400000,2026-04-21T03:00:00+00:00,400.43000000,400.45000000,399.68000000,400.26000000,60.22000000
1776744000000,2026-04-21T04:00:00+00:00,400.43000000,401.47000000,400.07000000,400.75000000,19.18000000
1776747600000,2026-04-21T05:00:00+00:00,400.45000000,400.76000000,400.01000000,400.27000000,31.92000000
1776751200000,2026-04-21T06:00:00+00:00,400.59000000,401.40000000,399.30000000,399.84000000,40.54000000
1776754800000,2026-04-21T07:00:00+00:00,399.21000000,400.05000000,397.46000000,399.89000000,47.29000000
1776758400000,2026-04-21T08:00:00+00:00,399.43000000,402.32000000,397.34000000,399.38000000,51.95000000
1776762000000,2026-04-21T09:00:00+00:00,399.07000000,400.35000000,397.37000000,398.46000000,17.80000000
1776765600000,2026-04-21T10:00:00+00:00,398.45000000,399.82000000,397.43000000,399.42000000,89.94000000
1776769200000,2026-04-21T11:00:00+00:00,399.24000000,401.39000000,399.00000000,400.11000000,25.90000000
1776772800000,2026-04-21T12:00:00+00:00,400.14000000,401.30000000,398.39000000,398.89000000,161.24000000
1776776400000,2026-04-21T13:00:00+00:00,398.80000000,399.51000000,394.76000000,397.56000000,212.15000000
1776780000000,2026-04-21T14:00:00+00:00,397.71000000,400.88000000,395.86000000,398.76000000,220.30000000
1776783600000,2026-04-21T15:00:00+00:00,398.72000000,403.54000000,397.18000000,401.43000000,131.14000000
1776787200000,2026-04-21T16:00:00+00:00,401.45000000,403.61000000,400.61000000,401.49000000,238.91000000
1776790800000,2026-04-21T17:00:00+00:00,401.49000000,402.53000000,399.85000000,401.36000000,121.00000000
1776794400000,2026-04-21T18:00:00+00:00,401.53000000,402.53000000,400.86000000,402.02000000,57.27000000
1776798000000,2026-04-21T19:00:00+00:00,402.22000000,402.70000000,399.05000000,402.05000000,55.83000000
1776801600000,2026-04-21T20:00:00+00:00,402.24000000,403.99000000,401.40000000,403.26000000,39.61000000
1776805200000,2026-04-21T21:00:00+00:00,403.24000000,404.47000000,403.24000000,403.45000000,44.16000000
1776808800000,2026-04-21T22:00:00+00:00,403.66000000,404.16000000,402.96000000,403.46000000,34.71000000
1776812400000,2026-04-21T23:00:00+00:00,403.63000000,404.96000000,403.43000000,404.82000000,66.00000000
1776816000000,2026-04-22T00:00:00+00:00,404.69000000,406.43000000,404.10000000,405.89000000,89.37000000
1776819600000,2026-04-22T01:00:00+00:00,405.89000000,406.28000000,405.01000000,405.75000000,34.88000000
1776823200000,2026-04-22T02:00:00+00:00,405.96000000,406.37000000,405.73000000,406.12000000,51.16000000
1776826800000,2026-04-22T03:00:00+00:00,405.78000000,406.25000000,405.25000000,405.25000000,10.40000000
1776830400000,2026-04-22T04:00:00+00:00,405.25000000,405.74000000,404.24000000,404.33000000,15.78000000
1776834000000,2026-04-22T05:00:00+00:00,404.35000000,407.70000000,403.87000000,407.18000000,56.48000000
1776837600000,2026-04-22T06:00:00+00:00,407.40000000,408.57000000,406.05000000,407.13000000,158.85000000
1776841200000,2026-04-22T07:00:00+00:00,406.90000000,408.57000000,406.90000000,407.79000000,29.42000000
1776844800000,2026-04-22T08:00:00+00:00,407.48000000,407.55000000,406.16000000,406.60000000,29.74000000
1776848400000,2026-04-22T09:00:00+00:00,406.87000000,408.01000000,406.60000000,407.03000000,18.45000000
1776852000000,2026-04-22T10:00:00+00:00,406.62000000,407.06000000,406.31000000,406.50000000,33.32000000
1776855600000,2026-04-22T11:00:00+00:00,406.49000000,408.20000000,405.00000000,406.54000000,416.37000000
1776859200000,2026-04-22T12:00:00+00:00,406.54000000,410.07000000,406.50000000,407.54000000,514.61000000
1776862800000,2026-04-22T13:00:00+00:00,407.60000000,410.68000000,404.95000000,407.51000000,1591.32000000
1776866400000,2026-04-22T14:00:00+00:00,407.60000000,414.22000000,407.51000000,413.50000000,410.97000000
1776870000000,2026-04-22T15:00:00+00:00,413.46000000,417.96000000,412.00000000,416.11000000,208.01000000
1776873600000,2026-04-22T16:00:00+00:00,416.15000000,420.05000000,413.20000000,416.89000000,164.99000000
1776877200000,2026-04-22T17:00:00+00:00,416.77000000,420.16000000,416.77000000,419.20000000,99.25000000
1776880800000,2026-04-22T18:00:00+00:00,419.16000000,420.85000000,419.11000000,419.11000000,112.83000000
1776884400000,2026-04-22T19:00:00+00:00,419.10000000,422.94000000,418.00000000,422.70000000,122.23000000
1776888000000,2026-04-22T20:00:00+00:00,422.74000000,423.94000000,421.43000000,421.76000000,108.80000000
1776891600000,2026-04-22T21:00:00+00:00,421.80000000,422.78000000,421.60000000,421.80000000,20.36000000
1776895200000,2026-04-22T22:00:00+00:00,421.79000000,432.98000000,420.61000000,422.18000000,308.07000000
1776898800000,2026-04-22T23:00:00+00:00,422.05000000,422.34000000,421.24000000,421.51000000,73.73000000
1776902400000,2026-04-23T00:00:00+00:00,421.39000000,422.16000000,416.13000000,420.91000000,178.39000000
1776906000000,2026-04-23T01:00:00+00:00,420.91000000,421.14000000,420.01000000,420.20000000,47.57000000
1776909600000,2026-04-23T02:00:00+00:00,420.17000000,420.17000000,418.02000000,418.11000000,29.50000000
1776913200000,2026-04-23T03:00:00+00:00,418.26000000,418.52000000,416.20000000,417.68000000,80.33000000
1776916800000,2026-04-23T04:00:00+00:00,417.81000000,419.50000000,416.71000000,417.93000000,42.83000000
1776920400000,2026-04-23T05:00:00+00:00,418.23000000,419.75000000,418.19000000,419.14000000,17.50000000
1776924000000,2026-04-23T06:00:00+00:00,419.33000000,419.96000000,418.92000000,419.40000000,41.00000000
1776927600000,2026-04-23T07:00:00+00:00,419.36000000,420.07000000,418.21000000,419.34000000,26.80000000
1776931200000,2026-04-23T08:00:00+00:00,419.28000000,419.51000000,416.90000000,417.30000000,35.83000000
1776934800000,2026-04-23T09:00:00+00:00,417.70000000,418.48000000,416.23000000,417.96000000,44.59000000
1776938400000,2026-04-23T10:00:00+00:00,418.01000000,418.99000000,416.61000000,418.68000000,48.48000000
1776942000000,2026-04-23T11:00:00+00:00,418.95000000,420.94000000,418.00000000,420.75000000,40.16000000
1776945600000,2026-04-23T12:00:00+00:00,420.86000000,421.56000000,418.50000000,420.06000000,146.17000000
1776949200000,2026-04-23T13:00:00+00:00,419.95000000,428.42000000,419.56000000,426.23000000,262.87000000
1776952800000,2026-04-23T14:00:00+00:00,426.18000000,427.77000000,424.57000000,426.81000000,198.58000000
