open_time_ms,open_time_iso,open,high,low,close,volume
1778819400000,2026-05-15T04:30:00+00:00,80863.70000000,81002.00000000,80837.70000000,80888.40000000,643.57500000
1778820300000,2026-05-15T04:45:00+00:00,80888.40000000,80918.80000000,80650.40000000,80682.20000000,1527.39100000
1778821200000,2026-05-15T05:00:00+00:00,80682.10000000,80809.90000000,80616.40000000,80788.10000000,1980.48900000
1778822100000,2026-05-15T05:15:00+00:00,80788.10000000,80846.00000000,80723.30000000,80758.50000000,811.21700000
1778823000000,2026-05-15T05:30:00+00:00,80758.50000000,80781.20000000,80266.80000000,80429.30000000,6954.25700000
1778823900000,2026-05-15T05:45:00+00:00,80429.20000000,80523.30000000,80274.80000000,80320.10000000,1832.96900000
1778824800000,2026-05-15T06:00:00+00:00,80320.00000000,80428.80000000,80275.20000000,80373.90000000,1603.62700000
1778825700000,2026-05-15T06:15:00+00:00,80374.00000000,80488.00000000,80266.90000000,80487.90000000,1539.61200000
1778826600000,2026-05-15T06:30:00+00:00,80487.90000000,80597.00000000,80460.60000000,80557.80000000,1420.04200000
1778827500000,2026-05-15T06:45:00+00:00,80557.80000000,80597.00000000,80511.00000000,80541.80000000,864.28900000
1778828400000,2026-05-15T07:00:00+00:00,80541.90000000,80752.30000000,80519.10000000,80735.30000000,1583.62300000
1778829300000,2026-05-15T07:15:00+00:00,80735.30000000,80971.30000000,80662.70000000,80865.70000000,2636.21500000
1778830200000,2026-05-15T07:30:00+00:00,80865.70000000,80865.70000000,80695.50000000,80780.10000000,1615.55200000
1778831100000,2026-05-15T07:45:00+00:00,80780.00000000,80842.40000000,80742.80000000,80782.80000000,739.37700000
1778832000000,2026-05-15T08:00:00+00:00,80782.90000000,80793.00000000,80624.60000000,80694.30000000,1063.25600000
1778832900000,2026-05-15T08:15:00+00:00,80694.30000000,80694.30000000,80480.00000000,80495.70000000,1149.41200000
1778833800000,2026-05-15T08:30:00+00:00,80495.70000000,80678.00000000,80368.90000000,80642.30000000,1442.18000000
1778834700000,2026-05-15T08:45:00+00:00,80642.30000000,80645.80000000,80514.40000000,80606.30000000,533.16400000
1778835600000,2026-05-15T09:00:00+00:00,80606.20000000,80638.00000000,80501.20000000,80533.00000000,513.37900000
1778836500000,2026-05-15T09:15:00+00:00,80533.00000000,80548.10000000,80400.00000000,80535.30000000,895.98700000
1778837400000,2026-05-15T09:30:00+00:00,80535.30000000,80608.10000000,80374.90000000,80383.50000000,816.43900000
1778838300000,2026-05-15T09:45:00+00:00,80383.40000000,80464.10000000,80323.00000000,80449.80000000,1215.70000000
1778839200000,2026-05-15T10:00:00+00:00,80449.90000000,80564.00000000,80364.60000000,80551.20000000,1236.35200000
1778840100000,2026-05-15T10:15:00+00:00,80551.10000000,80551.20000000,80450.00000000,80467.20000000,587.71900000
1778841000000,2026-05-15T10:30:00+00:00,80467.30000000,80532.70000000,80400.00000000,80488.00000000,742.27200000
1778841900000,2026-05-15T10:45:00+00:00,80488.00000000,80730.00000000,80476.10000000,80670.10000000,1729.28300000
1778842800000,2026-05-15T11:00:00+00:00,80670.20000000,80716.90000000,80546.40000000,80632.10000000,682.65100000
1778843700000,2026-05-15T11:15:00+00:00,80632.10000000,80675.80000000,80546.00000000,80586.40000000,481.40400000
1778844600000,2026-05-15T11:30:00+00:00,80586.40000000,80612.30000000,80545.00000000,80604.80000000,394.10300000
1778845500000,2026-05-15T11:45:00+00:00,80604.80000000,80666.00000000,80546.20000000,80582.10000000,514.66200000
1778846400000,2026-05-15T12:00:00+00:00,80582.00000000,80596.70000000,80347.50000000,80371.00000000,2143.68600000
1778847300000,2026-05-15T12:15:00+00:00,80371.10000000,80550.10000000,80317.10000000,80496.90000000,1559.69900000
1778848200000,2026-05-15T12:30:00+00:00,80496.90000000,80531.40000000,80352.00000000,80360.00000000,1748.80900000
1778849100000,2026-05-15T12:45:00+00:00,80360.00000000,80405.90000000,80280.00000000,80349.90000000,1449.75800000
1778850000000,2026-05-15T13:00:00+00:00,80349.80000000,80349.80000000,80034.10000000,80103.60000000,4952.16100000
1778850900000,2026-05-15T13:15:00+00:00,80103.50000000,80172.30000000,79968.00000000,79975.30000000,2627.17600000
1778851800000,2026-05-15T13:30:00+00:00,79975.30000000,79983.30000000,79055.00000000,79116.70000000,14864.99300000
1778852700000,2026-05-15T13:45:00+00:00,79116.60000000,79256.00000000,78638.80000000,78727.80000000,14972.71400000
1778853600000,2026-05-15T14:00:00+00:00,78727.80000000,79325.30000000,78610.00000000,79226.20000000,9201.82900000
1778854500000,2026-05-15T14:15:00+00:00,79226.10000000,79285.80000000,78969.90000000,79047.90000000,4564.52900000
1778855400000,2026-05-15T14:30:00+00:00,79047.90000000,79257.90000000,78962.90000000,79191.30000000,2971.11800000
1778856300000,2026-05-15T14:45:00+00:00,79191.30000000,79282.10000000,78920.20000000,79120.60000000,2191.06500000
1778857200000,2026-05-15T15:00:00+00:00,79120.60000000,79298.40000000,79045.80000000,79200.00000000,1763.57300000
1778858100000,2026-05-15T15:15:00+00:00,79199.90000000,79337.90000000,79070.00000000,79106.60000000,1858.90700000
1778859000000,2026-05-15T15:30:00+00:00,79106.50000000,79191.10000000,79035.00000000,79057.20000000,1386.48900000
1778859900000,2026-05-15T15:45:00+00:00,79057.10000000,79210.00000000,78980.30000000,79118.00000000,1185.01100000
1778860800000,2026-05-15T16:00:00+00:00,79118.10000000,79216.80000000,79098.70000000,79159.10000000,1229.29500000
1778861700000,2026-05-15T16:15:00+00:00,79159.00000000,79284.20000000,79101.20000000,79281.00000000,923.06000000
1778862600000,2026-05-15T16:30:00+00:00,79280.90000000,79363.70000000,79221.60000000,79241.70000000,924.39700000
1778863500000,2026-05-15T16:45:00+00:00,79241.70000000,79307.70000000,79100.60000000,79264.70000000,887.71900000
1778864400000,2026-05-15T17:00:00+00:00,79264.70000000,79321.00000000,79194.00000000,79225.70000000,762.84100000
1778865300000,2026-05-15T17:15:00+00:00,79225.70000000,79421.30000000,79188.80000000,79338.70000000,1255.15000000
1778866200000,2026-05-15T17:30:00+00:00,79338.70000000,79463.00000000,79338.70000000,79368.70000000,1184.91000000
1778867100000,2026-05-15T17:45:00+00:00,79368.70000000,79475.80000000,79340.00000000,79432.10000000,582.74500000
1778868000000,2026-05-15T18:00:00+00:00,79432.20000000,79532.10000000,79394.50000000,79446.40000000,1156.65900000
1778868900000,2026-05-15T18:15:00+00:00,79446.40000000,79457.20000000,79163.40000000,79251.10000000,1287.47400000
1778869800000,2026-05-15T18:30:00+00:00,79251.20000000,79288.00000000,79135.40000000,79258.70000000,732.74200000
1778870700000,2026-05-15T18:45:00+00:00,79258.80000000,79309.00000000,79167.40000000,79241.20000000,483.61600000
1778871600000,2026-05-15T19:00:00+00:00,79241.10000000,79257.90000000,79012.50000000,79044.60000000,1439.18100000
