open_time_ms,open_time_iso,open,high,low,close,volume
1778821200000,2026-05-15T05:00:00+00:00,80682.10000000,80846.00000000,80266.80000000,80320.10000000,11578.93200000
1778824800000,2026-05-15T06:00:00+00:00,80320.00000000,80597.00000000,80266.90000000,80541.80000000,5427.57000000
1778828400000,2026-05-15T07:00:00+00:00,80541.90000000,80971.30000000,80519.10000000,80782.80000000,6574.76700000
1778832000000,2026-05-15T08:00:00+00:00,80782.90000000,80793.00000000,80368.90000000,80606.30000000,4188.01200000
1778835600000,2026-05-15T09:00:00+00:00,80606.20000000,80638.00000000,80323.00000000,80449.80000000,3441.50500000
1778839200000,2026-05-15T10:00:00+00:00,80449.90000000,80730.00000000,80364.60000000,80670.10000000,4295.62600000
1778842800000,2026-05-15T11:00:00+00:00,80670.20000000,80716.90000000,80545.00000000,80582.10000000,2072.82000000
1778846400000,2026-05-15T12:00:00+00:00,80582.00000000,80596.70000000,80280.00000000,80349.90000000,6901.95200000
1778850000000,2026-05-15T13:00:00+00:00,80349.80000000,80349.80000000,78638.80000000,78727.80000000,37417.04400000
1778853600000,2026-05-15T14:00:00+00:00,78727.80000000,79325.30000000,78610.00000000,79120.60000000,18928.54100000
1778857200000,2026-05-15T15:00:00+00:00,79120.60000000,79337.90000000,78980.30000000,79118.00000000,6193.98000000
1778860800000,2026-05-15T16:00:00+00:00,79118.10000000,79363.70000000,79098.70000000,79264.70000000,3964.47100000
1778864400000,2026-05-15T17:00:00+00:00,79264.70000000,79475.80000000,79188.80000000,79432.10000000,3785.64600000
1778868000000,2026-05-15T18:00:00+00:00,79432.20000000,79532.10000000,79135.40000000,79241.20000000,3660.49100000
1778871600000,2026-05-15T19:00:00+00:00,79241.10000000,79257.90000000,79012.50000000,79104.20000000,3297.17900000
1778875200000,2026-05-15T20:00:00+00:00,79104.30000000,79185.00000000,78955.00000000,79081.10000000,2297.38600000
1778878800000,2026-05-15T21:00:00+00:00,79081.00000000,79168.00000000,78861.60000000,78931.30000000,2254.98800000
1778882400000,2026-05-15T22:00:00+00:00,78931.40000000,79113.70000000,78931.30000000,79070.10000000,1362.08400000
1778886000000,2026-05-15T23:00:00+00:00,79070.00000000,79135.30000000,79035.10000000,79074.00000000,1224.72800000
1778889600000,2026-05-16T00:00:00+00:00,79074.00000000,79199.70000000,79031.70000000,79075.60000000,1866.35000000
1778893200000,2026-05-16T01:00:00+00:00,79075.60000000,79155.90000000,78970.40000000,79128.50000000,1948.60800000
1778896800000,2026-05-16T02:00:00+00:00,79128.40000000,79178.00000000,79040.70000000,79113.90000000,1461.70300000
