open_time_ms,open_time_iso,open,high,low,close,volume
1774536300000,2026-03-26T14:45:00+00:00,288.00000000,288.00000000,285.78000000,286.75000000,2231.11000000
1774537200000,2026-03-26T15:00:00+00:00,286.75000000,286.96000000,286.02000000,286.07000000,713.86000000
1774538100000,2026-03-26T15:15:00+00:00,286.08000000,286.39000000,285.37000000,286.00000000,682.42000000
1774539000000,2026-03-26T15:30:00+00:00,285.98000000,285.98000000,284.88000000,285.45000000,411.15000000
1774539900000,2026-03-26T15:45:00+00:00,285.21000000,285.92000000,285.00000000,285.10000000,286.32000000
1774540800000,2026-03-26T16:00:00+00:00,285.10000000,285.46000000,284.36000000,284.89000000,343.53000000
1774541700000,2026-03-26T16:15:00+00:00,284.89000000,284.94000000,284.20000000,284.29000000,380.07000000
1774542600000,2026-03-26T16:30:00+00:00,284.37000000,284.88000000,283.94000000,284.47000000,330.89000000
1774543500000,2026-03-26T16:45:00+00:00,284.40000000,284.43000000,283.52000000,284.09000000,203.04000000
1774544400000,2026-03-26T17:00:00+00:00,284.23000000,284.43000000,283.50000000,283.64000000,159.37000000
1774545300000,2026-03-26T17:15:00+00:00,283.63000000,283.79000000,282.75000000,283.01000000,348.29000000
1774546200000,2026-03-26T17:30:00+00:00,283.01000000,283.60000000,282.81000000,283.14000000,309.12000000
1774547100000,2026-03-26T17:45:00+00:00,283.15000000,283.15000000,282.09000000,282.19000000,344.17000000
1774548000000,2026-03-26T18:00:00+00:00,282.15000000,282.57000000,279.19000000,279.44000000,1422.32000000
1774548900000,2026-03-26T18:15:00+00:00,279.48000000,281.05000000,279.47000000,280.59000000,658.71000000
1774549800000,2026-03-26T18:30:00+00:00,280.72000000,281.61000000,280.58000000,280.99000000,385.77000000
1774550700000,2026-03-26T18:45:00+00:00,281.18000000,282.00000000,280.92000000,281.83000000,165.51000000
1774551600000,2026-03-26T19:00:00+00:00,281.73000000,281.88000000,280.57000000,281.54000000,164.29000000
1774552500000,2026-03-26T19:15:00+00:00,281.43000000,281.89000000,281.26000000,281.64000000,77.04000000
1774553400000,2026-03-26T19:30:00+00:00,281.60000000,281.65000000,280.52000000,280.64000000,97.83000000
1774554300000,2026-03-26T19:45:00+00:00,280.64000000,281.67000000,280.36000000,281.10000000,274.87000000
1774555200000,2026-03-26T20:00:00+00:00,281.26000000,282.98000000,280.69000000,282.62000000,277.22000000
1774556100000,2026-03-26T20:15:00+00:00,282.37000000,282.94000000,281.67000000,281.91000000,246.39000000
1774557000000,2026-03-26T20:30:00+00:00,281.89000000,282.56000000,281.73000000,282.10000000,220.25000000
1774557900000,2026-03-26T20:45:00+00:00,282.07000000,282.13000000,281.42000000,281.64000000,39.19000000
1774558800000,2026-03-26T21:00:00+00:00,281.56000000,281.76000000,281.19000000,281.64000000,51.63000000
1774559700000,2026-03-26T21:15:00+00:00,281.64000000,282.11000000,281.64000000,282.06000000,58.57000000
1774560600000,2026-03-26T21:30:00+00:00,282.06000000,282.23000000,281.94000000,282.00000000,80.29000000
1774561500000,2026-03-26T21:45:00+00:00,282.14000000,282.15000000,281.58000000,281.72000000,40.51000000
1774562400000,2026-03-26T22:00:00+00:00,281.73000000,281.95000000,281.55000000,281.79000000,36.54000000
1774563300000,2026-03-26T22:15:00+00:00,281.78000000,281.91000000,281.34000000,281.66000000,13.40000000
1774564200000,2026-03-26T22:30:00+00:00,281.57000000,281.76000000,281.39000000,281.56000000,20.15000000
1774565100000,2026-03-26T22:45:00+00:00,281.56000000,281.72000000,281.25000000,281.56000000,33.80000000
1774566000000,2026-03-26T23:00:00+00:00,281.50000000,281.87000000,281.39000000,281.52000000,17.62000000
1774566900000,2026-03-26T23:15:00+00:00,281.76000000,281.77000000,281.31000000,281.51000000,31.34000000
1774567800000,2026-03-26T23:30:00+00:00,281.54000000,281.91000000,281.47000000,281.89000000,26.20000000
1774568700000,2026-03-26T23:45:00+00:00,281.88000000,282.10000000,281.70000000,282.04000000,43.07000000
1774569600000,2026-03-27T00:00:00+00:00,282.01000000,282.79000000,281.65000000,282.03000000,53.12000000
1774570500000,2026-03-27T00:15:00+00:00,282.16000000,282.38000000,282.01000000,282.01000000,80.69000000
1774571400000,2026-03-27T00:30:00+00:00,282.00000000,282.16000000,281.35000000,281.79000000,161.18000000
1774572300000,2026-03-27T00:45:00+00:00,281.70000000,281.83000000,281.15000000,281.52000000,95.97000000
1774573200000,2026-03-27T01:00:00+00:00,281.21000000,281.71000000,281.12000000,281.44000000,45.27000000
1774574100000,2026-03-27T01:15:00+00:00,281.66000000,281.92000000,281.36000000,281.92000000,36.18000000
1774575000000,2026-03-27T01:30:00+00:00,281.98000000,282.44000000,281.97000000,282.40000000,58.97000000
1774575900000,2026-03-27T01:45:00+00:00,282.40000000,282.40000000,282.02000000,282.15000000,20.24000000
1774576800000,2026-03-27T02:00:00+00:00,282.10000000,282.40000000,282.10000000,282.32000000,34.22000000
1774577700000,2026-03-27T02:15:00+00:00,282.29000000,282.40000000,281.97000000,282.29000000,73.78000000
1774578600000,2026-03-27T02:30:00+00:00,282.26000000,282.31000000,281.98000000,282.22000000,34.04000000
1774579500000,2026-03-27T02:45:00+00:00,282.17000000,282.25000000,281.93000000,281.97000000,47.24000000
1774580400000,2026-03-27T03:00:00+00:00,282.03000000,282.20000000,281.69000000,281.97000000,28.28000000
1774581300000,2026-03-27T03:15:00+00:00,281.89000000,282.40000000,281.85000000,282.10000000,76.25000000
1774582200000,2026-03-27T03:30:00+00:00,282.13000000,282.54000000,282.12000000,282.37000000,27.97000000
1774583100000,2026-03-27T03:45:00+00:00,282.36000000,282.49000000,282.24000000,282.37000000,38.80000000
1774584000000,2026-03-27T04:00:00+00:00,282.32000000,282.50000000,282.13000000,282.42000000,51.40000000
1774584900000,2026-03-27T04:15:00+00:00,282.42000000,283.30000000,282.41000000,282.79000000,167.02000000
1774585800000,2026-03-27T04:30:00+00:00,282.82000000,283.32000000,282.71000000,283.01000000,133.28000000
1774586700000,2026-03-27T04:45:00+00:00,283.04000000,283.78000000,283.04000000,283.65000000,92.81000000
1774587600000,2026-03-27T05:00:00+00:00,283.65000000,284.22000000,283.53000000,284.21000000,178.69000000
1774588500000,2026-03-27T05:15:00+00:00,284.22000000,284.22000000,283.43000000,283.69000000,92.72000000
1774589400000,2026-03-27T05:30:00+00:00,283.69000000,283.72000000,283.48000000,283.60000000,39.34000000
1774590300000,2026-03-27T05:45:00+00:00,283.55000000,283.66000000,283.07000000,283.09000000,187.04000000
1774591200000,2026-03-27T06:00:00+00:00,283.03000000,283.24000000,282.76000000,283.17000000,118.15000000
1774592100000,2026-03-27T06:15:00+00:00,283.20000000,283.50000000,283.09000000,283.43000000,18.33000000
1774593000000,2026-03-27T06:30:00+00:00,283.50000000,283.50000000,282.86000000,283.05000000,97.35000000
1774593900000,2026-03-27T06:45:00+00:00,283.01000000,283.22000000,282.72000000,283.04000000,48.86000000
1774594800000,2026-03-27T07:00:00+00:00,283.04000000,283.04000000,282.69000000,282.82000000,24.98000000
1774595700000,2026-03-27T07:15:00+00:00,282.87000000,282.92000000,282.51000000,282.51000000,58.70000000
1774596600000,2026-03-27T07:30:00+00:00,282.51000000,282.68000000,282.26000000,282.55000000,50.14000000
1774597500000,2026-03-27T07:45:00+00:00,282.60000000,282.76000000,282.26000000,282.28000000,28.86000000
1774598400000,2026-03-27T08:00:00+00:00,282.54000000,283.13000000,281.25000000,281.65000000,653.51000000
1774599300000,2026-03-27T08:15:00+00:00,281.71000000,281.81000000,280.89000000,281.01000000,149.09000000
1774600200000,2026-03-27T08:30:00+00:00,280.90000000,281.17000000,279.67000000,280.47000000,280.45000000
1774601100000,2026-03-27T08:45:00+00:00,280.45000000,280.58000000,279.88000000,280.09000000,77.50000000
1774602000000,2026-03-27T09:00:00+00:00,280.09000000,280.53000000,279.01000000,279.64000000,409.21000000
1774602900000,2026-03-27T09:15:00+00:00,279.68000000,280.63000000,279.62000000,280.46000000,138.87000000
1774603800000,2026-03-27T09:30:00+00:00,280.44000000,280.77000000,280.28000000,280.36000000,46.75000000
1774604700000,2026-03-27T09:45:00+00:00,280.41000000,280.41000000,279.64000000,279.64000000,154.55000000
1774605600000,2026-03-27T10:00:00+00:00,279.63000000,279.97000000,279.22000000,279.42000000,118.16000000
1774606500000,2026-03-27T10:15:00+00:00,279.49000000,279.94000000,279.38000000,279.78000000,40.78000000
1774607400000,2026-03-27T10:30:00+00:00,279.76000000,279.86000000,278.84000000,279.15000000,484.47000000
1774608300000,2026-03-27T10:45:00+00:00,279.15000000,279.21000000,278.31000000,278.73000000,178.35000000
1774609200000,2026-03-27T11:00:00+00:00,278.74000000,278.84000000,277.47000000,278.19000000,524.97000000
1774610100000,2026-03-27T11:15:00+00:00,278.25000000,279.02000000,278.23000000,278.64000000,345.59000000
1774611000000,2026-03-27T11:30:00+00:00,278.63000000,278.89000000,278.12000000,278.27000000,208.14000000
1774611900000,2026-03-27T11:45:00+00:00,278.32000000,278.95000000,278.27000000,278.50000000,144.89000000
1774612800000,2026-03-27T12:00:00+00:00,278.51000000,278.55000000,277.58000000,278.04000000,134.36000000
1774613700000,2026-03-27T12:15:00+00:00,278.01000000,278.48000000,277.95000000,278.29000000,80.61000000
1774614600000,2026-03-27T12:30:00+00:00,278.27000000,278.27000000,277.33000000,277.48000000,113.95000000
1774615500000,2026-03-27T12:45:00+00:00,277.49000000,277.79000000,277.02000000,277.23000000,193.43000000
1774616400000,2026-03-27T13:00:00+00:00,277.19000000,277.40000000,276.66000000,276.71000000,314.03000000
1774617300000,2026-03-27T13:15:00+00:00,276.69000000,277.50000000,276.11000000,277.45000000,1048.54000000
1774618200000,2026-03-27T13:30:00+00:00,277.50000000,278.87000000,275.61000000,277.73000000,2380.01000000
1774619100000,2026-03-27T13:45:00+00:00,277.70000000,278.58000000,276.83000000,277.02000000,758.70000000
1774620000000,2026-03-27T14:00:00+00:00,276.97000000,278.90000000,276.73000000,278.41000000,216.90000000
1774620900000,2026-03-27T14:15:00+00:00,278.39000000,279.26000000,278.21000000,278.39000000,408.62000000
1774621800000,2026-03-27T14:30:00+00:00,278.41000000,279.34000000,277.92000000,279.34000000,394.57000000
1774622700000,2026-03-27T14:45:00+00:00,279.36000000,279.81000000,278.97000000,279.31000000,295.58000000
1774623600000,2026-03-27T15:00:00+00:00,279.24000000,279.57000000,278.16000000,278.21000000,337.34000000
1774624500000,2026-03-27T15:15:00+00:00,278.16000000,278.62000000,277.50000000,278.34000000,409.65000000
1774625400000,2026-03-27T15:30:00+00:00,278.41000000,278.76000000,277.54000000,278.03000000,163.62000000
1774626300000,2026-03-27T15:45:00+00:00,278.02000000,278.17000000,277.68000000,277.81000000,76.38000000
1774627200000,2026-03-27T16:00:00+00:00,277.82000000,277.86000000,277.21000000,277.33000000,237.17000000
1774628100000,2026-03-27T16:15:00+00:00,277.50000000,277.50000000,276.98000000,277.05000000,103.61000000
1774629000000,2026-03-27T16:30:00+00:00,277.26000000,277.30000000,276.60000000,276.99000000,130.43000000
1774629900000,2026-03-27T16:45:00+00:00,277.29000000,277.55000000,276.79000000,276.86000000,99.97000000
1774630800000,2026-03-27T17:00:00+00:00,276.79000000,277.02000000,276.27000000,276.72000000,102.90000000
1774631700000,2026-03-27T17:15:00+00:00,276.69000000,276.69000000,275.00000000,275.17000000,379.13000000
1774632600000,2026-03-27T17:30:00+00:00,275.06000000,275.68000000,274.43000000,274.59000000,881.98000000
1774633500000,2026-03-27T17:45:00+00:00,274.49000000,275.12000000,274.41000000,274.89000000,158.92000000
1774634400000,2026-03-27T18:00:00+00:00,274.88000000,275.01000000,274.49000000,274.81000000,130.94000000
1774635300000,2026-03-27T18:15:00+00:00,274.85000000,275.94000000,274.80000000,275.70000000,145.24000000
1774636200000,2026-03-27T18:30:00+00:00,275.78000000,276.26000000,275.69000000,275.88000000,181.66000000
1774637100000,2026-03-27T18:45:00+00:00,275.94000000,276.05000000,275.29000000,275.36000000,177.26000000
1774638000000,2026-03-27T19:00:00+00:00,275.35000000,275.51000000,275.05000000,275.44000000,54.74000000
1774638900000,2026-03-27T19:15:00+00:00,275.45000000,275.78000000,274.91000000,274.99000000,91.20000000
1774639800000,2026-03-27T19:30:00+00:00,274.99000000,275.15000000,274.52000000,274.86000000,63.69000000
1774640700000,2026-03-27T19:45:00+00:00,274.86000000,275.11000000,274.43000000,274.85000000,144.34000000
1774641600000,2026-03-27T20:00:00+00:00,274.83000000,274.91000000,274.36000000,274.57000000,57.72000000
1774642500000,2026-03-27T20:15:00+00:00,274.61000000,274.63000000,274.04000000,274.59000000,108.66000000
1774643400000,2026-03-27T20:30:00+00:00,274.59000000,274.61000000,274.32000000,274.35000000,17.41000000
1774644300000,2026-03-27T20:45:00+00:00,274.35000000,274.50000000,274.29000000,274.35000000,17.96000000
1774645200000,2026-03-27T21:00:00+00:00,274.29000000,274.40000000,274.29000000,274.29000000,17.56000000
1774646100000,2026-03-27T21:15:00+00:00,274.37000000,274.79000000,274.24000000,274.59000000,77.27000000
1774647000000,2026-03-27T21:30:00+00:00,274.59000000,274.75000000,274.51000000,274.57000000,16.97000000
1774647900000,2026-03-27T21:45:00+00:00,274.73000000,274.80000000,274.55000000,274.60000000,14.10000000
1774648800000,2026-03-27T22:00:00+00:00,274.62000000,274.74000000,274.15000000,274.27000000,91.98000000
1774649700000,2026-03-27T22:15:00+00:00,274.29000000,274.43000000,274.06000000,274.25000000,52.55000000
1774650600000,2026-03-27T22:30:00+00:00,274.24000000,274.30000000,274.00000000,274.00000000,96.36000000
1774651500000,2026-03-27T22:45:00+00:00,274.00000000,274.13000000,273.80000000,273.97000000,73.56000000
1774652400000,2026-03-27T23:00:00+00:00,273.97000000,274.27000000,273.81000000,273.96000000,158.93000000
1774653300000,2026-03-27T23:15:00+00:00,273.97000000,274.00000000,273.80000000,273.90000000,111.58000000
1774654200000,2026-03-27T23:30:00+00:00,273.90000000,273.93000000,273.83000000,273.84000000,24.92000000
1774655100000,2026-03-27T23:45:00+00:00,273.85000000,273.91000000,273.80000000,273.80000000,79.00000000
1774656000000,2026-03-28T00:00:00+00:00,273.86000000,273.91000000,273.68000000,273.72000000,80.95000000
