open_time_ms,open_time_iso,open,high,low,close,volume
1770647400000,2026-02-09T14:30:00+00:00,129.99000000,129.99000000,125.18000000,128.67000000,34594.87000000
1770648300000,2026-02-09T14:45:00+00:00,128.67000000,130.98000000,128.17000000,130.01000000,9745.56000000
1770649200000,2026-02-09T15:00:00+00:00,130.01000000,132.64000000,130.01000000,132.01000000,8169.34000000
1770650100000,2026-02-09T15:15:00+00:00,132.05000000,132.88000000,127.48000000,128.06000000,10298.80000000
1770651000000,2026-02-09T15:30:00+00:00,128.03000000,131.47000000,127.15000000,130.96000000,7134.17000000
1770651900000,2026-02-09T15:45:00+00:00,131.03000000,132.28000000,131.03000000,132.23000000,5952.58000000
1770652800000,2026-02-09T16:00:00+00:00,132.23000000,132.93000000,131.89000000,132.58000000,5656.66000000
1770653700000,2026-02-09T16:15:00+00:00,132.59000000,134.60000000,132.58000000,134.31000000,10412.32000000
1770654600000,2026-02-09T16:30:00+00:00,134.31000000,135.56000000,134.11000000,135.27000000,7784.59000000
1770655500000,2026-02-09T16:45:00+00:00,135.27000000,136.70000000,135.26000000,136.45000000,3890.31000000
1770656400000,2026-02-09T17:00:00+00:00,136.49000000,137.26000000,136.11000000,136.30000000,5114.66000000
1770657300000,2026-02-09T17:15:00+00:00,136.26000000,137.17000000,136.06000000,136.71000000,10018.07000000
1770658200000,2026-02-09T17:30:00+00:00,136.72000000,139.49000000,136.64000000,139.36000000,8646.91000000
1770659100000,2026-02-09T17:45:00+00:00,139.32000000,139.67000000,138.52000000,138.80000000,7337.61000000
1770660000000,2026-02-09T18:00:00+00:00,138.75000000,140.16000000,138.40000000,138.68000000,13370.02000000
1770660900000,2026-02-09T18:15:00+00:00,138.59000000,139.06000000,136.45000000,138.09000000,7080.56000000
1770661800000,2026-02-09T18:30:00+00:00,138.08000000,140.88000000,137.85000000,138.61000000,9354.12000000
1770662700000,2026-02-09T18:45:00+00:00,138.60000000,138.90000000,136.37000000,137.50000000,14205.56000000
1770663600000,2026-02-09T19:00:00+00:00,137.59000000,138.34000000,136.37000000,136.60000000,12696.99000000
1770664500000,2026-02-09T19:15:00+00:00,136.58000000,137.51000000,136.48000000,137.43000000,1837.46000000
1770665400000,2026-02-09T19:30:00+00:00,137.49000000,137.97000000,136.77000000,136.88000000,1696.76000000
1770666300000,2026-02-09T19:45:00+00:00,136.89000000,137.41000000,136.48000000,137.01000000,5648.10000000
1770667200000,2026-02-09T20:00:00+00:00,137.00000000,138.03000000,136.56000000,137.41000000,4589.86000000
1770668100000,2026-02-09T20:15:00+00:00,137.41000000,137.42000000,136.16000000,136.62000000,5427.50000000
1770669000000,2026-02-09T20:30:00+00:00,136.55000000,138.00000000,136.37000000,137.93000000,2385.72000000
1770669900000,2026-02-09T20:45:00+00:00,138.01000000,139.40000000,137.93000000,138.92000000,2490.71000000
1770670800000,2026-02-09T21:00:00+00:00,138.84000000,138.99000000,137.55000000,138.23000000,1417.53000000
1770671700000,2026-02-09T21:15:00+00:00,138.14000000,138.33000000,137.67000000,137.67000000,537.43000000
1770672600000,2026-02-09T21:30:00+00:00,137.71000000,137.88000000,136.89000000,137.12000000,2100.93000000
1770673500000,2026-02-09T21:45:00+00:00,137.12000000,138.36000000,136.79000000,137.79000000,2470.50000000
1770674400000,2026-02-09T22:00:00+00:00,137.74000000,138.08000000,137.13000000,137.84000000,731.13000000
1770675300000,2026-02-09T22:15:00+00:00,137.80000000,137.98000000,137.35000000,137.59000000,951.57000000
1770676200000,2026-02-09T22:30:00+00:00,137.63000000,138.49000000,137.44000000,138.08000000,692.44000000
1770677100000,2026-02-09T22:45:00+00:00,138.18000000,138.28000000,137.50000000,137.61000000,487.93000000
1770678000000,2026-02-09T23:00:00+00:00,137.52000000,138.15000000,137.03000000,137.07000000,1646.28000000
1770678900000,2026-02-09T23:15:00+00:00,137.33000000,137.66000000,137.11000000,137.51000000,892.58000000
1770679800000,2026-02-09T23:30:00+00:00,137.51000000,137.51000000,137.10000000,137.32000000,641.28000000
1770680700000,2026-02-09T23:45:00+00:00,137.23000000,137.27000000,136.79000000,136.86000000,868.88000000
1770681600000,2026-02-10T00:00:00+00:00,136.87000000,137.70000000,136.77000000,136.81000000,1026.23000000
1770682500000,2026-02-10T00:15:00+00:00,136.81000000,137.00000000,136.40000000,136.61000000,788.36000000
1770683400000,2026-02-10T00:30:00+00:00,136.60000000,137.15000000,136.60000000,136.70000000,335.50000000
1770684300000,2026-02-10T00:45:00+00:00,136.70000000,136.90000000,136.30000000,136.56000000,1043.34000000
1770685200000,2026-02-10T01:00:00+00:00,136.53000000,137.16000000,136.17000000,137.07000000,587.73000000
1770686100000,2026-02-10T01:15:00+00:00,136.94000000,137.70000000,136.63000000,137.52000000,450.34000000
1770687000000,2026-02-10T01:30:00+00:00,137.52000000,137.86000000,137.24000000,137.75000000,345.80000000
1770687900000,2026-02-10T01:45:00+00:00,137.79000000,137.85000000,137.34000000,137.79000000,204.57000000
1770688800000,2026-02-10T02:00:00+00:00,137.75000000,137.83000000,137.21000000,137.33000000,183.35000000
1770689700000,2026-02-10T02:15:00+00:00,137.42000000,137.48000000,137.11000000,137.11000000,280.93000000
1770690600000,2026-02-10T02:30:00+00:00,137.12000000,137.17000000,136.29000000,136.59000000,902.98000000
1770691500000,2026-02-10T02:45:00+00:00,136.60000000,136.80000000,136.00000000,136.33000000,1110.16000000
1770692400000,2026-02-10T03:00:00+00:00,136.42000000,136.47000000,135.48000000,135.71000000,608.80000000
1770693300000,2026-02-10T03:15:00+00:00,135.71000000,135.79000000,134.89000000,135.12000000,985.88000000
1770694200000,2026-02-10T03:30:00+00:00,135.11000000,135.15000000,134.31000000,134.68000000,712.47000000
1770695100000,2026-02-10T03:45:00+00:00,134.70000000,135.36000000,134.53000000,135.17000000,711.34000000
1770696000000,2026-02-10T04:00:00+00:00,135.10000000,135.99000000,135.04000000,135.51000000,434.58000000
1770696900000,2026-02-10T04:15:00+00:00,135.56000000,135.66000000,135.00000000,135.39000000,319.64000000
1770697800000,2026-02-10T04:30:00+00:00,135.46000000,135.54000000,135.05000000,135.27000000,489.07000000
1770698700000,2026-02-10T04:45:00+00:00,135.31000000,136.28000000,135.20000000,136.04000000,398.02000000
1770699600000,2026-02-10T05:00:00+00:00,136.10000000,136.12000000,135.41000000,135.74000000,446.10000000
1770700500000,2026-02-10T05:15:00+00:00,135.91000000,136.01000000,135.27000000,135.31000000,199.77000000
1770701400000,2026-02-10T05:30:00+00:00,135.32000000,135.40000000,134.59000000,134.75000000,522.00000000
1770702300000,2026-02-10T05:45:00+00:00,134.76000000,134.99000000,134.31000000,134.42000000,545.33000000
1770703200000,2026-02-10T06:00:00+00:00,134.47000000,134.92000000,134.30000000,134.37000000,927.89000000
1770704100000,2026-02-10T06:15:00+00:00,134.37000000,134.58000000,133.75000000,134.06000000,883.16000000
1770705000000,2026-02-10T06:30:00+00:00,134.06000000,134.29000000,133.82000000,134.00000000,526.21000000
1770705900000,2026-02-10T06:45:00+00:00,134.00000000,134.14000000,133.51000000,133.55000000,1059.00000000
1770706800000,2026-02-10T07:00:00+00:00,133.55000000,134.72000000,133.54000000,134.57000000,1281.42000000
1770707700000,2026-02-10T07:15:00+00:00,134.57000000,134.71000000,134.00000000,134.57000000,875.72000000
1770708600000,2026-02-10T07:30:00+00:00,134.43000000,134.59000000,134.02000000,134.40000000,775.96000000
1770709500000,2026-02-10T07:45:00+00:00,134.30000000,134.42000000,133.87000000,133.89000000,1253.13000000
1770710400000,2026-02-10T08:00:00+00:00,133.89000000,133.97000000,133.85000000,133.96000000,1009.74000000
1770711300000,2026-02-10T08:15:00+00:00,133.96000000,134.50000000,133.75000000,134.37000000,944.60000000
1770712200000,2026-02-10T08:30:00+00:00,134.37000000,134.50000000,134.07000000,134.46000000,427.34000000
1770713100000,2026-02-10T08:45:00+00:00,134.47000000,134.70000000,134.35000000,134.64000000,136.21000000
1770714000000,2026-02-10T09:00:00+00:00,134.53000000,135.98000000,134.29000000,135.38000000,1846.64000000
1770714900000,2026-02-10T09:15:00+00:00,135.38000000,136.34000000,135.38000000,135.84000000,916.66000000
1770715800000,2026-02-10T09:30:00+00:00,135.80000000,135.82000000,135.35000000,135.60000000,498.79000000
1770716700000,2026-02-10T09:45:00+00:00,135.60000000,135.75000000,135.17000000,135.48000000,736.34000000
1770717600000,2026-02-10T10:00:00+00:00,135.43000000,135.48000000,134.94000000,135.41000000,698.80000000
1770718500000,2026-02-10T10:15:00+00:00,135.40000000,135.56000000,135.11000000,135.48000000,371.49000000
1770719400000,2026-02-10T10:30:00+00:00,135.48000000,135.49000000,134.59000000,134.74000000,866.04000000
1770720300000,2026-02-10T10:45:00+00:00,134.74000000,134.87000000,134.59000000,134.62000000,261.77000000
1770721200000,2026-02-10T11:00:00+00:00,134.62000000,134.62000000,134.11000000,134.21000000,575.35000000
1770722100000,2026-02-10T11:15:00+00:00,134.24000000,134.46000000,134.14000000,134.42000000,285.77000000
1770723000000,2026-02-10T11:30:00+00:00,134.41000000,134.63000000,133.81000000,133.86000000,545.89000000
1770723900000,2026-02-10T11:45:00+00:00,133.86000000,133.86000000,133.30000000,133.46000000,1472.16000000
1770724800000,2026-02-10T12:00:00+00:00,133.47000000,134.33000000,133.37000000,133.70000000,1298.48000000
1770725700000,2026-02-10T12:15:00+00:00,133.69000000,134.14000000,133.65000000,134.04000000,316.80000000
1770726600000,2026-02-10T12:30:00+00:00,133.97000000,134.30000000,133.41000000,133.41000000,495.58000000
1770727500000,2026-02-10T12:45:00+00:00,133.40000000,133.48000000,133.21000000,133.23000000,693.96000000
1770728400000,2026-02-10T13:00:00+00:00,133.20000000,133.20000000,131.51000000,132.15000000,2698.60000000
1770729300000,2026-02-10T13:15:00+00:00,132.09000000,133.15000000,131.97000000,132.88000000,897.94000000
1770730200000,2026-02-10T13:30:00+00:00,132.85000000,133.93000000,132.79000000,133.76000000,1088.24000000
1770731100000,2026-02-10T13:45:00+00:00,133.76000000,134.33000000,133.76000000,134.16000000,610.92000000
1770732000000,2026-02-10T14:00:00+00:00,134.09000000,134.46000000,133.75000000,134.40000000,1250.45000000
1770732900000,2026-02-10T14:15:00+00:00,134.37000000,135.57000000,134.15000000,134.21000000,3565.25000000
1770733800000,2026-02-10T14:30:00+00:00,134.16000000,137.79000000,134.11000000,136.23000000,12365.36000000
1770734700000,2026-02-10T14:45:00+00:00,136.20000000,136.29000000,133.85000000,135.74000000,8983.44000000
1770735600000,2026-02-10T15:00:00+00:00,135.72000000,136.94000000,135.15000000,135.81000000,4369.40000000
1770736500000,2026-02-10T15:15:00+00:00,135.75000000,137.31000000,135.28000000,136.50000000,4988.87000000
1770737400000,2026-02-10T15:30:00+00:00,136.49000000,139.14000000,136.43000000,138.26000000,8943.01000000
1770738300000,2026-02-10T15:45:00+00:00,138.25000000,138.99000000,137.37000000,138.48000000,8826.47000000
1770739200000,2026-02-10T16:00:00+00:00,138.48000000,138.92000000,136.92000000,138.69000000,10146.80000000
1770740100000,2026-02-10T16:15:00+00:00,138.70000000,138.76000000,137.41000000,137.68000000,3927.90000000
1770741000000,2026-02-10T16:30:00+00:00,137.63000000,138.45000000,136.97000000,137.73000000,4474.55000000
1770741900000,2026-02-10T16:45:00+00:00,137.77000000,138.54000000,137.02000000,137.47000000,3643.09000000
1770742800000,2026-02-10T17:00:00+00:00,137.48000000,137.75000000,136.81000000,137.55000000,3781.02000000
1770743700000,2026-02-10T17:15:00+00:00,137.55000000,138.23000000,136.80000000,136.95000000,3020.17000000
1770744600000,2026-02-10T17:30:00+00:00,136.95000000,137.83000000,136.81000000,137.15000000,5398.77000000
1770745500000,2026-02-10T17:45:00+00:00,137.17000000,138.44000000,137.17000000,137.73000000,6441.57000000
1770746400000,2026-02-10T18:00:00+00:00,137.82000000,137.85000000,136.21000000,136.47000000,897.61000000
1770747300000,2026-02-10T18:15:00+00:00,136.39000000,136.39000000,134.50000000,134.50000000,2189.80000000
1770748200000,2026-02-10T18:30:00+00:00,134.48000000,135.52000000,134.38000000,135.04000000,1916.30000000
1770749100000,2026-02-10T18:45:00+00:00,135.00000000,135.10000000,133.90000000,134.80000000,1030.22000000
1770750000000,2026-02-10T19:00:00+00:00,134.79000000,134.98000000,134.15000000,134.76000000,1039.77000000
1770750900000,2026-02-10T19:15:00+00:00,134.73000000,135.04000000,134.37000000,135.04000000,232.89000000
1770751800000,2026-02-10T19:30:00+00:00,135.07000000,136.09000000,134.85000000,135.77000000,1163.54000000
1770752700000,2026-02-10T19:45:00+00:00,135.80000000,135.92000000,134.34000000,134.44000000,257.23000000
1770753600000,2026-02-10T20:00:00+00:00,134.49000000,134.62000000,133.47000000,133.57000000,554.22000000
1770754500000,2026-02-10T20:15:00+00:00,133.53000000,134.13000000,133.48000000,133.61000000,283.87000000
1770755400000,2026-02-10T20:30:00+00:00,133.57000000,134.07000000,133.03000000,133.80000000,411.25000000
1770756300000,2026-02-10T20:45:00+00:00,133.95000000,134.32000000,133.27000000,133.37000000,777.55000000
1770757200000,2026-02-10T21:00:00+00:00,133.34000000,133.73000000,132.89000000,133.00000000,733.31000000
1770758100000,2026-02-10T21:15:00+00:00,132.98000000,133.31000000,132.90000000,133.03000000,270.22000000
1770759000000,2026-02-10T21:30:00+00:00,133.01000000,133.06000000,131.96000000,132.39000000,664.36000000
1770759900000,2026-02-10T21:45:00+00:00,132.40000000,133.15000000,132.39000000,132.83000000,331.34000000
1770760800000,2026-02-10T22:00:00+00:00,132.83000000,132.89000000,132.42000000,132.59000000,172.44000000
1770761700000,2026-02-10T22:15:00+00:00,132.53000000,132.78000000,132.44000000,132.76000000,126.31000000
1770762600000,2026-02-10T22:30:00+00:00,132.77000000,133.14000000,132.50000000,132.97000000,369.74000000
1770763500000,2026-02-10T22:45:00+00:00,132.93000000,133.35000000,132.91000000,133.33000000,211.16000000
1770764400000,2026-02-10T23:00:00+00:00,133.26000000,133.60000000,132.63000000,132.92000000,2153.81000000
1770765300000,2026-02-10T23:15:00+00:00,132.94000000,132.94000000,132.43000000,132.59000000,2202.44000000
1770766200000,2026-02-10T23:30:00+00:00,132.52000000,132.89000000,132.50000000,132.65000000,416.00000000
1770767100000,2026-02-10T23:45:00+00:00,132.62000000,133.07000000,132.57000000,132.79000000,556.01000000
1770768000000,2026-02-11T00:00:00+00:00,132.78000000,133.14000000,132.73000000,133.11000000,235.91000000
1770768900000,2026-02-11T00:15:00+00:00,133.11000000,133.73000000,132.98000000,133.56000000,1086.56000000
1770769800000,2026-02-11T00:30:00+00:00,133.52000000,133.82000000,133.29000000,133.57000000,683.22000000
1770770700000,2026-02-11T00:45:00+00:00,133.51000000,134.15000000,133.49000000,133.78000000,599.76000000
1770771600000,2026-02-11T01:00:00+00:00,133.79000000,134.58000000,133.71000000,134.23000000,694.93000000
1770772500000,2026-02-11T01:15:00+00:00,134.08000000,134.49000000,133.46000000,133.50000000,376.89000000
1770773400000,2026-02-11T01:30:00+00:00,133.59000000,133.68000000,133.01000000,133.09000000,814.55000000
