open_time_ms,open_time_iso,open,high,low,close,volume
1770645600000,2026-02-09T14:00:00+00:00,129.99000000,130.98000000,125.18000000,130.01000000,44340.43000000
1770649200000,2026-02-09T15:00:00+00:00,130.01000000,132.88000000,127.15000000,132.23000000,31554.89000000
1770652800000,2026-02-09T16:00:00+00:00,132.23000000,136.70000000,131.89000000,136.45000000,27743.88000000
1770656400000,2026-02-09T17:00:00+00:00,136.49000000,139.67000000,136.06000000,138.80000000,31117.25000000
1770660000000,2026-02-09T18:00:00+00:00,138.75000000,140.88000000,136.37000000,137.50000000,44010.26000000
1770663600000,2026-02-09T19:00:00+00:00,137.59000000,138.34000000,136.37000000,137.01000000,21879.31000000
1770667200000,2026-02-09T20:00:00+00:00,137.00000000,139.40000000,136.16000000,138.92000000,14893.79000000
1770670800000,2026-02-09T21:00:00+00:00,138.84000000,138.99000000,136.79000000,137.79000000,6526.39000000
1770674400000,2026-02-09T22:00:00+00:00,137.74000000,138.49000000,137.13000000,137.61000000,2863.07000000
1770678000000,2026-02-09T23:00:00+00:00,137.52000000,138.15000000,136.79000000,136.86000000,4049.02000000
1770681600000,2026-02-10T00:00:00+00:00,136.87000000,137.70000000,136.30000000,136.56000000,3193.43000000
1770685200000,2026-02-10T01:00:00+00:00,136.53000000,137.86000000,136.17000000,137.79000000,1588.44000000
1770688800000,2026-02-10T02:00:00+00:00,137.75000000,137.83000000,136.00000000,136.33000000,2477.42000000
1770692400000,2026-02-10T03:00:00+00:00,136.42000000,136.47000000,134.31000000,135.17000000,3018.49000000
1770696000000,2026-02-10T04:00:00+00:00,135.10000000,136.28000000,135.00000000,136.04000000,1641.31000000
1770699600000,2026-02-10T05:00:00+00:00,136.10000000,136.12000000,134.31000000,134.42000000,1713.20000000
1770703200000,2026-02-10T06:00:00+00:00,134.47000000,134.92000000,133.51000000,133.55000000,3396.26000000
1770706800000,2026-02-10T07:00:00+00:00,133.55000000,134.72000000,133.54000000,133.89000000,4186.23000000
1770710400000,2026-02-10T08:00:00+00:00,133.89000000,134.70000000,133.75000000,134.64000000,2517.89000000
1770714000000,2026-02-10T09:00:00+00:00,134.53000000,136.34000000,134.29000000,135.48000000,3998.43000000
1770717600000,2026-02-10T10:00:00+00:00,135.43000000,135.56000000,134.59000000,134.62000000,2198.10000000
1770721200000,2026-02-10T11:00:00+00:00,134.62000000,134.63000000,133.30000000,133.46000000,2879.17000000
1770724800000,2026-02-10T12:00:00+00:00,133.47000000,134.33000000,133.21000000,133.23000000,2804.82000000
1770728400000,2026-02-10T13:00:00+00:00,133.20000000,134.33000000,131.51000000,134.16000000,5295.70000000
1770732000000,2026-02-10T14:00:00+00:00,134.09000000,137.79000000,133.75000000,135.74000000,26164.50000000
1770735600000,2026-02-10T15:00:00+00:00,135.72000000,139.14000000,135.15000000,138.48000000,27127.75000000
1770739200000,2026-02-10T16:00:00+00:00,138.48000000,138.92000000,136.92000000,137.47000000,22192.34000000
1770742800000,2026-02-10T17:00:00+00:00,137.48000000,138.44000000,136.80000000,137.73000000,18641.53000000
1770746400000,2026-02-10T18:00:00+00:00,137.82000000,137.85000000,133.90000000,134.80000000,6033.93000000
1770750000000,2026-02-10T19:00:00+00:00,134.79000000,136.09000000,134.15000000,134.44000000,2693.43000000
1770753600000,2026-02-10T20:00:00+00:00,134.49000000,134.62000000,133.03000000,133.37000000,2026.89000000
1770757200000,2026-02-10T21:00:00+00:00,133.34000000,133.73000000,131.96000000,132.83000000,1999.23000000
1770760800000,2026-02-10T22:00:00+00:00,132.83000000,133.35000000,132.42000000,133.33000000,879.65000000
1770764400000,2026-02-10T23:00:00+00:00,133.26000000,133.60000000,132.43000000,132.79000000,5328.26000000
1770768000000,2026-02-11T00:00:00+00:00,132.78000000,134.15000000,132.73000000,133.78000000,2605.45000000
1770771600000,2026-02-11T01:00:00+00:00,133.79000000,134.58000000,132.83000000,132.89000000,2202.29000000
1770775200000,2026-02-11T02:00:00+00:00,132.88000000,133.95000000,132.55000000,132.90000000,2095.90000000
1770778800000,2026-02-11T03:00:00+00:00,132.90000000,133.26000000,131.47000000,132.39000000,2444.02000000
1770782400000,2026-02-11T04:00:00+00:00,132.50000000,132.70000000,130.52000000,130.83000000,3171.52000000
1770786000000,2026-02-11T05:00:00+00:00,130.81000000,131.79000000,130.70000000,130.75000000,1635.44000000
1770789600000,2026-02-11T06:00:00+00:00,130.63000000,130.96000000,128.56000000,129.32000000,3399.80000000
1770793200000,2026-02-11T07:00:00+00:00,129.22000000,130.56000000,129.02000000,130.09000000,1366.25000000
1770796800000,2026-02-11T08:00:00+00:00,130.00000000,130.60000000,129.50000000,129.68000000,1018.80000000
1770800400000,2026-02-11T09:00:00+00:00,129.68000000,130.02000000,128.92000000,129.24000000,2444.82000000
1770804000000,2026-02-11T10:00:00+00:00,129.25000000,129.38000000,128.56000000,129.03000000,2418.37000000
1770807600000,2026-02-11T11:00:00+00:00,129.02000000,130.66000000,129.02000000,130.49000000,2228.27000000
1770811200000,2026-02-11T12:00:00+00:00,130.56000000,132.10000000,130.04000000,130.94000000,2235.59000000
1770814800000,2026-02-11T13:00:00+00:00,130.97000000,133.52000000,130.28000000,133.46000000,10014.59000000
1770818400000,2026-02-11T14:00:00+00:00,133.46000000,135.42000000,128.11000000,128.53000000,31518.42000000
1770822000000,2026-02-11T15:00:00+00:00,128.56000000,130.16000000,125.65000000,129.15000000,29248.57000000
1770825600000,2026-02-11T16:00:00+00:00,129.21000000,130.55000000,126.09000000,126.36000000,20204.43000000
1770829200000,2026-02-11T17:00:00+00:00,126.32000000,127.62000000,125.77000000,125.81000000,15211.68000000
1770832800000,2026-02-11T18:00:00+00:00,125.86000000,126.25000000,124.47000000,126.12000000,10476.48000000
1770836400000,2026-02-11T19:00:00+00:00,126.19000000,127.47000000,125.61000000,126.90000000,10903.61000000
1770840000000,2026-02-11T20:00:00+00:00,126.84000000,127.52000000,124.02000000,126.27000000,5635.55000000
1770843600000,2026-02-11T21:00:00+00:00,126.28000000,128.13000000,126.06000000,126.97000000,6674.46000000
1770847200000,2026-02-11T22:00:00+00:00,126.90000000,127.10000000,126.18000000,126.61000000,2512.40000000
1770850800000,2026-02-11T23:00:00+00:00,126.63000000,127.05000000,125.10000000,125.90000000,6587.30000000
1770854400000,2026-02-12T00:00:00+00:00,125.89000000,126.78000000,125.77000000,126.19000000,3784.87000000
1770858000000,2026-02-12T01:00:00+00:00,126.15000000,128.36000000,126.05000000,127.35000000,2327.25000000
1770861600000,2026-02-12T02:00:00+00:00,127.15000000,127.21000000,126.17000000,126.41000000,1490.30000000
1770865200000,2026-02-12T03:00:00+00:00,126.38000000,126.97000000,126.15000000,126.97000000,1009.37000000
1770868800000,2026-02-12T04:00:00+00:00,126.97000000,126.99000000,125.36000000,125.49000000,1374.41000000
1770872400000,2026-02-12T05:00:00+00:00,125.52000000,126.17000000,124.98000000,126.11000000,2080.86000000
1770876000000,2026-02-12T06:00:00+00:00,126.11000000,126.72000000,125.64000000,126.10000000,1632.48000000
1770879600000,2026-02-12T07:00:00+00:00,126.22000000,126.82000000,125.86000000,126.39000000,1485.52000000
1770883200000,2026-02-12T08:00:00+00:00,126.42000000,126.85000000,125.78000000,126.55000000,888.68000000
1770886800000,2026-02-12T09:00:00+00:00,126.49000000,128.33000000,126.49000000,128.15000000,3266.84000000
1770890400000,2026-02-12T10:00:00+00:00,128.11000000,132.00000000,127.58000000,129.09000000,5302.01000000
1770894000000,2026-02-12T11:00:00+00:00,129.06000000,129.21000000,128.47000000,128.53000000,4860.28000000
1770897600000,2026-02-12T12:00:00+00:00,128.50000000,128.59000000,127.21000000,127.58000000,3261.05000000
1770901200000,2026-02-12T13:00:00+00:00,127.69000000,128.72000000,127.06000000,128.69000000,6457.12000000
1770904800000,2026-02-12T14:00:00+00:00,128.71000000,128.73000000,126.24000000,126.61000000,24967.97000000
1770908400000,2026-02-12T15:00:00+00:00,126.61000000,127.37000000,124.01000000,124.20000000,19680.11000000
1770912000000,2026-02-12T16:00:00+00:00,124.25000000,125.04000000,120.88000000,121.85000000,21724.22000000
1770915600000,2026-02-12T17:00:00+00:00,121.85000000,124.20000000,121.06000000,122.10000000,14191.19000000
1770919200000,2026-02-12T18:00:00+00:00,122.14000000,123.50000000,121.41000000,121.58000000,16614.40000000
1770922800000,2026-02-12T19:00:00+00:00,121.62000000,124.84000000,121.20000000,123.33000000,15205.18000000
1770926400000,2026-02-12T20:00:00+00:00,123.37000000,124.46000000,122.77000000,123.18000000,8438.79000000
1770930000000,2026-02-12T21:00:00+00:00,123.14000000,124.20000000,122.55000000,124.01000000,2737.85000000
1770933600000,2026-02-12T22:00:00+00:00,124.01000000,124.67000000,123.29000000,124.26000000,1051.61000000
1770937200000,2026-02-12T23:00:00+00:00,124.32000000,124.89000000,123.69000000,124.32000000,1901.46000000
1770940800000,2026-02-13T00:00:00+00:00,124.33000000,124.67000000,122.79000000,122.99000000,2207.14000000
1770944400000,2026-02-13T01:00:00+00:00,122.83000000,124.93000000,122.83000000,124.38000000,1603.95000000
1770948000000,2026-02-13T02:00:00+00:00,124.38000000,124.90000000,124.11000000,124.76000000,1155.78000000
1770951600000,2026-02-13T03:00:00+00:00,124.73000000,125.04000000,124.14000000,124.46000000,1119.83000000
1770955200000,2026-02-13T04:00:00+00:00,124.34000000,124.64000000,123.69000000,123.76000000,627.52000000
1770958800000,2026-02-13T05:00:00+00:00,123.72000000,123.93000000,123.38000000,123.46000000,835.54000000
1770962400000,2026-02-13T06:00:00+00:00,123.49000000,123.75000000,122.74000000,123.66000000,826.27000000
