open_time_ms,open_time_iso,open,high,low,close,volume
1780683300000,2026-06-05T18:15:00+00:00,892.85000000,893.19000000,883.54000000,888.64000000,17741.58000000
1780684200000,2026-06-05T18:30:00+00:00,888.61000000,889.81000000,871.49000000,877.79000000,24313.21000000
1780685100000,2026-06-05T18:45:00+00:00,877.86000000,888.27000000,869.37000000,887.33000000,33415.19000000
1780686000000,2026-06-05T19:00:00+00:00,887.37000000,892.08000000,872.86000000,876.09000000,16788.45000000
1780686900000,2026-06-05T19:15:00+00:00,876.05000000,884.82000000,867.71000000,884.82000000,13323.48000000
1780687800000,2026-06-05T19:30:00+00:00,884.81000000,887.40000000,875.79000000,880.55000000,13887.04000000
1780688700000,2026-06-05T19:45:00+00:00,880.43000000,894.73000000,866.25000000,866.49000000,25288.79000000
1780689600000,2026-06-05T20:00:00+00:00,866.40000000,873.58000000,856.00000000,857.76000000,14080.26000000
1780690500000,2026-06-05T20:15:00+00:00,857.87000000,861.50000000,851.00000000,859.22000000,22825.18000000
1780691400000,2026-06-05T20:30:00+00:00,859.31000000,859.38000000,850.01000000,858.49000000,9026.35000000
1780692300000,2026-06-05T20:45:00+00:00,858.50000000,865.68000000,856.05000000,863.85000000,5724.73000000
1780693200000,2026-06-05T21:00:00+00:00,863.81000000,874.79000000,860.54000000,871.56000000,5752.83000000
1780694100000,2026-06-05T21:15:00+00:00,871.49000000,878.53000000,870.30000000,872.39000000,8584.82000000
1780695000000,2026-06-05T21:30:00+00:00,872.40000000,876.00000000,871.82000000,876.00000000,2114.81000000
1780695900000,2026-06-05T21:45:00+00:00,876.00000000,881.00000000,873.85000000,880.70000000,2265.03000000
1780696800000,2026-06-05T22:00:00+00:00,880.84000000,885.09000000,875.98000000,875.98000000,3775.41000000
1780697700000,2026-06-05T22:15:00+00:00,875.98000000,880.17000000,873.86000000,876.25000000,2687.95000000
1780698600000,2026-06-05T22:30:00+00:00,876.30000000,879.83000000,869.84000000,870.32000000,2899.44000000
1780699500000,2026-06-05T22:45:00+00:00,870.29000000,873.01000000,870.16000000,871.22000000,1381.85000000
1780700400000,2026-06-05T23:00:00+00:00,871.24000000,871.52000000,869.42000000,869.87000000,1399.02000000
1780701300000,2026-06-05T23:15:00+00:00,869.85000000,870.19000000,859.69000000,862.20000000,3893.27000000
1780702200000,2026-06-05T23:30:00+00:00,862.08000000,862.99000000,854.22000000,855.29000000,4805.48000000
1780703100000,2026-06-05T23:45:00+00:00,855.33000000,863.43000000,852.89000000,859.38000000,6096.38000000
1780704000000,2026-06-06T00:00:00+00:00,859.38000000,878.02000000,859.38000000,869.65000000,17285.78000000
1780704900000,2026-06-06T00:15:00+00:00,869.67000000,873.49000000,864.40000000,867.35000000,3872.26000000
1780705800000,2026-06-06T00:30:00+00:00,867.45000000,868.68000000,863.44000000,866.27000000,2520.51000000
1780706700000,2026-06-06T00:45:00+00:00,866.27000000,866.63000000,859.52000000,861.48000000,2924.12000000
1780707600000,2026-06-06T01:00:00+00:00,861.53000000,863.76000000,859.34000000,860.49000000,1651.53000000
1780708500000,2026-06-06T01:15:00+00:00,860.50000000,860.88000000,855.25000000,856.67000000,2887.91000000
1780709400000,2026-06-06T01:30:00+00:00,856.62000000,856.74000000,854.31000000,855.05000000,1513.96000000
1780710300000,2026-06-06T01:45:00+00:00,854.89000000,855.14000000,835.50000000,838.14000000,10518.53000000
1780711200000,2026-06-06T02:00:00+00:00,838.11000000,843.69000000,838.02000000,838.24000000,4059.46000000
1780712100000,2026-06-06T02:15:00+00:00,838.22000000,843.35000000,838.02000000,840.05000000,4363.97000000
1780713000000,2026-06-06T02:30:00+00:00,840.01000000,848.57000000,835.00000000,847.18000000,5182.01000000
1780713900000,2026-06-06T02:45:00+00:00,847.05000000,852.18000000,843.78000000,845.49000000,3804.75000000
1780714800000,2026-06-06T03:00:00+00:00,845.65000000,850.50000000,838.29000000,840.59000000,3452.54000000
1780715700000,2026-06-06T03:15:00+00:00,840.63000000,844.35000000,838.00000000,844.19000000,1686.26000000
1780716600000,2026-06-06T03:30:00+00:00,844.20000000,848.34000000,842.90000000,848.04000000,1786.09000000
1780717500000,2026-06-06T03:45:00+00:00,848.06000000,853.13000000,848.06000000,853.02000000,2005.69000000
1780718400000,2026-06-06T04:00:00+00:00,853.01000000,859.00000000,851.78000000,857.65000000,4129.63000000
1780719300000,2026-06-06T04:15:00+00:00,857.57000000,858.00000000,850.75000000,853.60000000,2271.24000000
1780720200000,2026-06-06T04:30:00+00:00,853.60000000,853.60000000,848.16000000,850.20000000,1784.47000000
1780721100000,2026-06-06T04:45:00+00:00,850.18000000,850.23000000,846.20000000,846.30000000,1182.39000000
1780722000000,2026-06-06T05:00:00+00:00,846.30000000,855.36000000,844.82000000,852.67000000,4145.08000000
1780722900000,2026-06-06T05:15:00+00:00,852.65000000,858.73000000,851.54000000,854.42000000,3336.67000000
1780723800000,2026-06-06T05:30:00+00:00,854.41000000,859.61000000,853.74000000,858.30000000,1948.93000000
1780724700000,2026-06-06T05:45:00+00:00,858.35000000,874.46000000,858.21000000,873.39000000,4888.13000000
1780725600000,2026-06-06T06:00:00+00:00,873.40000000,873.57000000,857.08000000,866.37000000,6193.46000000
1780726500000,2026-06-06T06:15:00+00:00,866.39000000,872.69000000,863.14000000,867.96000000,2452.81000000
1780727400000,2026-06-06T06:30:00+00:00,868.08000000,868.31000000,862.29000000,862.51000000,993.47000000
1780728300000,2026-06-06T06:45:00+00:00,862.43000000,863.06000000,857.76000000,858.96000000,1500.19000000
1780729200000,2026-06-06T07:00:00+00:00,858.96000000,862.87000000,856.33000000,859.01000000,1445.81000000
1780730100000,2026-06-06T07:15:00+00:00,859.01000000,861.92000000,857.17000000,857.77000000,601.54000000
1780731000000,2026-06-06T07:30:00+00:00,857.69000000,858.55000000,851.11000000,853.31000000,1660.70000000
1780731900000,2026-06-06T07:45:00+00:00,853.32000000,855.77000000,851.47000000,853.84000000,1114.40000000
1780732800000,2026-06-06T08:00:00+00:00,853.93000000,857.75000000,852.70000000,857.33000000,1024.03000000
