open_time_ms,open_time_iso,open,high,low,close,volume
1780686000000,2026-06-05T19:00:00+00:00,887.37000000,894.73000000,866.25000000,866.49000000,69287.76000000
1780689600000,2026-06-05T20:00:00+00:00,866.40000000,873.58000000,850.01000000,863.85000000,51656.52000000
1780693200000,2026-06-05T21:00:00+00:00,863.81000000,881.00000000,860.54000000,880.70000000,18717.49000000
1780696800000,2026-06-05T22:00:00+00:00,880.84000000,885.09000000,869.84000000,871.22000000,10744.65000000
1780700400000,2026-06-05T23:00:00+00:00,871.24000000,871.52000000,852.89000000,859.38000000,16194.15000000
1780704000000,2026-06-06T00:00:00+00:00,859.38000000,878.02000000,859.38000000,861.48000000,26602.67000000
1780707600000,2026-06-06T01:00:00+00:00,861.53000000,863.76000000,835.50000000,838.14000000,16571.93000000
1780711200000,2026-06-06T02:00:00+00:00,838.11000000,852.18000000,835.00000000,845.49000000,17410.19000000
1780714800000,2026-06-06T03:00:00+00:00,845.65000000,853.13000000,838.00000000,853.02000000,8930.58000000
1780718400000,2026-06-06T04:00:00+00:00,853.01000000,859.00000000,846.20000000,846.30000000,9367.73000000
1780722000000,2026-06-06T05:00:00+00:00,846.30000000,874.46000000,844.82000000,873.39000000,14318.81000000
1780725600000,2026-06-06T06:00:00+00:00,873.40000000,873.57000000,857.08000000,858.96000000,11139.93000000
1780729200000,2026-06-06T07:00:00+00:00,858.96000000,862.87000000,851.11000000,853.84000000,4822.45000000
1780732800000,2026-06-06T08:00:00+00:00,853.93000000,867.29000000,852.70000000,865.11000000,4437.48000000
1780736400000,2026-06-06T09:00:00+00:00,865.05000000,869.76000000,860.74000000,862.26000000,4796.64000000
1780740000000,2026-06-06T10:00:00+00:00,862.32000000,865.56000000,855.00000000,862.63000000,7214.81000000
1780743600000,2026-06-06T11:00:00+00:00,862.72000000,869.37000000,858.87000000,864.88000000,5670.07000000
1780747200000,2026-06-06T12:00:00+00:00,864.88000000,878.00000000,864.53000000,873.53000000,19255.98000000
1780750800000,2026-06-06T13:00:00+00:00,873.52000000,876.44000000,869.49000000,870.46000000,4932.81000000
1780754400000,2026-06-06T14:00:00+00:00,870.50000000,876.00000000,870.00000000,874.77000000,4349.88000000
1780758000000,2026-06-06T15:00:00+00:00,874.74000000,875.96000000,864.93000000,869.11000000,5359.41000000
1780761600000,2026-06-06T16:00:00+00:00,869.14000000,876.00000000,867.80000000,874.73000000,4246.70000000
1780765200000,2026-06-06T17:00:00+00:00,874.77000000,875.80000000,865.00000000,865.75000000,4977.71000000
1780768800000,2026-06-06T18:00:00+00:00,865.72000000,871.45000000,864.07000000,869.18000000,3905.72000000
1780772400000,2026-06-06T19:00:00+00:00,869.16000000,875.55000000,868.35000000,874.92000000,2785.93000000
1780776000000,2026-06-06T20:00:00+00:00,874.90000000,876.71000000,870.74000000,875.12000000,2555.59000000
1780779600000,2026-06-06T21:00:00+00:00,875.09000000,877.27000000,872.93000000,873.30000000,1770.00000000
1780783200000,2026-06-06T22:00:00+00:00,873.48000000,875.86000000,867.15000000,868.27000000,2917.36000000
1780786800000,2026-06-06T23:00:00+00:00,868.37000000,880.18000000,867.64000000,877.69000000,4757.41000000
1780790400000,2026-06-07T00:00:00+00:00,877.69000000,879.78000000,870.89000000,876.28000000,5425.97000000
1780794000000,2026-06-07T01:00:00+00:00,876.27000000,888.00000000,871.59000000,884.49000000,9983.76000000
1780797600000,2026-06-07T02:00:00+00:00,884.48000000,884.65000000,871.26000000,873.49000000,6902.62000000
