open_time_ms,open_time_iso,open,high,low,close,volume
1765986300000,2025-12-17T15:45:00+00:00,88689.80000000,88776.90000000,87101.00000000,87192.80000000,790297.34000000
1765987200000,2025-12-17T16:00:00+00:00,87192.90000000,87776.30000000,86906.00000000,86931.30000000,392489.41000000
1765988100000,2025-12-17T16:15:00+00:00,86931.40000000,86994.80000000,86270.00000000,86313.40000000,539684.71000000
1765989000000,2025-12-17T16:30:00+00:00,86313.50000000,86665.30000000,86111.20000000,86576.20000000,262791.76000000
1765989900000,2025-12-17T16:45:00+00:00,86577.60000000,86972.10000000,86425.50000000,86947.40000000,157050.88000000
1765990800000,2025-12-17T17:00:00+00:00,86947.40000000,86955.60000000,86433.80000000,86619.20000000,127634.36000000
1765991700000,2025-12-17T17:15:00+00:00,86619.20000000,87062.50000000,86572.90000000,86826.30000000,93742.46000000
1765992600000,2025-12-17T17:30:00+00:00,86826.20000000,86878.00000000,86315.50000000,86320.30000000,72288.92000000
1765993500000,2025-12-17T17:45:00+00:00,86320.30000000,86555.00000000,86220.00000000,86375.20000000,94685.03000000
1765994400000,2025-12-17T18:00:00+00:00,86375.30000000,86802.40000000,86375.30000000,86513.10000000,70568.26000000
1765995300000,2025-12-17T18:15:00+00:00,86513.20000000,86660.00000000,86400.00000000,86441.40000000,48410.21000000
1765996200000,2025-12-17T18:30:00+00:00,86441.40000000,86546.30000000,85767.60000000,85904.40000000,177600.44000000
1765997100000,2025-12-17T18:45:00+00:00,85904.50000000,85979.50000000,85610.00000000,85790.50000000,127908.75000000
1765998000000,2025-12-17T19:00:00+00:00,85790.60000000,85820.70000000,85282.10000000,85483.20000000,179613.17000000
1765998900000,2025-12-17T19:15:00+00:00,85483.30000000,85909.80000000,85450.00000000,85659.00000000,128103.00000000
1765999800000,2025-12-17T19:30:00+00:00,85659.00000000,85825.10000000,85402.70000000,85599.80000000,67577.45000000
1766000700000,2025-12-17T19:45:00+00:00,85599.80000000,86139.60000000,85574.30000000,85976.70000000,66644.54000000
1766001600000,2025-12-17T20:00:00+00:00,85976.70000000,86015.60000000,85616.60000000,85647.50000000,71723.12000000
1766002500000,2025-12-17T20:15:00+00:00,85647.50000000,86219.30000000,85635.90000000,86096.80000000,108488.84000000
1766003400000,2025-12-17T20:30:00+00:00,86096.80000000,86150.00000000,85827.70000000,86067.00000000,64419.01000000
1766004300000,2025-12-17T20:45:00+00:00,86067.00000000,86129.00000000,85756.10000000,85843.20000000,57707.94000000
1766005200000,2025-12-17T21:00:00+00:00,85843.30000000,86008.10000000,85825.80000000,85952.70000000,29339.42000000
1766006100000,2025-12-17T21:15:00+00:00,85952.70000000,85952.80000000,85726.00000000,85805.30000000,25680.25000000
1766007000000,2025-12-17T21:30:00+00:00,85805.40000000,85878.80000000,85655.80000000,85861.30000000,34362.95000000
1766007900000,2025-12-17T21:45:00+00:00,85861.30000000,85970.10000000,85810.40000000,85941.40000000,29108.00000000
1766008800000,2025-12-17T22:00:00+00:00,85941.60000000,86085.90000000,85840.00000000,86019.80000000,27814.42000000
1766009700000,2025-12-17T22:15:00+00:00,86019.70000000,86398.70000000,85948.10000000,86203.70000000,53577.93000000
1766010600000,2025-12-17T22:30:00+00:00,86203.80000000,86265.10000000,86056.40000000,86118.00000000,28463.56000000
1766011500000,2025-12-17T22:45:00+00:00,86118.00000000,86346.90000000,86050.30000000,86300.00000000,33740.56000000
1766012400000,2025-12-17T23:00:00+00:00,86299.90000000,86307.40000000,85960.00000000,85960.10000000,30711.73000000
1766013300000,2025-12-17T23:15:00+00:00,85960.10000000,86062.60000000,85919.00000000,85985.90000000,32327.45000000
1766014200000,2025-12-17T23:30:00+00:00,85985.90000000,86095.10000000,85911.70000000,86059.00000000,31191.29000000
1766015100000,2025-12-17T23:45:00+00:00,86059.10000000,86216.10000000,86022.10000000,86201.50000000,44186.54000000
1766016000000,2025-12-18T00:00:00+00:00,86201.60000000,86254.90000000,86056.20000000,86121.20000000,28024.88000000
1766016900000,2025-12-18T00:15:00+00:00,86121.30000000,86218.50000000,86013.90000000,86209.90000000,28337.52000000
1766017800000,2025-12-18T00:30:00+00:00,86210.00000000,86281.20000000,86110.60000000,86116.30000000,40938.23000000
1766018700000,2025-12-18T00:45:00+00:00,86116.40000000,86252.70000000,86091.30000000,86193.10000000,22411.25000000
1766019600000,2025-12-18T01:00:00+00:00,86193.10000000,86213.70000000,85816.60000000,85916.80000000,64831.47000000
1766020500000,2025-12-18T01:15:00+00:00,85916.90000000,86027.20000000,85830.00000000,85957.70000000,31380.18000000
1766021400000,2025-12-18T01:30:00+00:00,85957.70000000,86112.00000000,85932.70000000,86081.80000000,36049.51000000
1766022300000,2025-12-18T01:45:00+00:00,86081.80000000,86144.00000000,85968.00000000,86083.00000000,30618.00000000
1766023200000,2025-12-18T02:00:00+00:00,86083.00000000,86527.20000000,85968.00000000,86450.10000000,63052.34000000
1766024100000,2025-12-18T02:15:00+00:00,86450.00000000,86836.90000000,86245.00000000,86365.00000000,132456.25000000
1766025000000,2025-12-18T02:30:00+00:00,86365.00000000,86666.00000000,86346.70000000,86655.10000000,46616.14000000
1766025900000,2025-12-18T02:45:00+00:00,86655.10000000,86719.90000000,86572.00000000,86643.10000000,52772.50000000
1766026800000,2025-12-18T03:00:00+00:00,86643.10000000,86649.60000000,86465.70000000,86543.90000000,54105.66000000
1766027700000,2025-12-18T03:15:00+00:00,86544.00000000,86544.00000000,86254.80000000,86254.90000000,83382.53000000
