open_time_ms,open_time_iso,open,high,low,close,volume
1772613000000,2026-03-04T08:30:00+00:00,664.86000000,664.86000000,638.96000000,651.58000000,14.88000000
1772613900000,2026-03-04T08:45:00+00:00,652.50000000,653.48000000,651.99000000,652.01000000,1.14000000
1772614800000,2026-03-04T09:00:00+00:00,651.75000000,653.39000000,649.15000000,652.13000000,1.52000000
1772615700000,2026-03-04T09:15:00+00:00,653.25000000,654.44000000,650.25000000,650.25000000,4.11000000
1772616600000,2026-03-04T09:30:00+00:00,650.99000000,654.14000000,648.00000000,648.00000000,0.74000000
1772617500000,2026-03-04T09:45:00+00:00,648.74000000,655.22000000,639.00000000,655.22000000,2.55000000
1772618400000,2026-03-04T10:00:00+00:00,655.22000000,658.26000000,655.18000000,656.25000000,7.41000000
1772619300000,2026-03-04T10:15:00+00:00,656.25000000,658.33000000,655.50000000,655.55000000,2.97000000
1772620200000,2026-03-04T10:30:00+00:00,656.13000000,656.74000000,654.07000000,656.24000000,0.39000000
1772621100000,2026-03-04T10:45:00+00:00,656.24000000,664.35000000,645.00000000,656.01000000,44.41000000
1772622000000,2026-03-04T11:00:00+00:00,656.63000000,660.00000000,643.80000000,657.62000000,137.10000000
1772622900000,2026-03-04T11:15:00+00:00,657.48000000,658.04000000,650.40000000,656.77000000,135.03000000
1772623800000,2026-03-04T11:30:00+00:00,657.16000000,662.70000000,653.85000000,656.25000000,35.34000000
1772624700000,2026-03-04T11:45:00+00:00,656.12000000,661.27000000,653.41000000,656.65000000,92.56000000
1772625600000,2026-03-04T12:00:00+00:00,656.65000000,657.59000000,654.74000000,656.57000000,19.62000000
1772626500000,2026-03-04T12:15:00+00:00,655.69000000,656.21000000,653.44000000,653.44000000,1.65000000
1772627400000,2026-03-04T12:30:00+00:00,653.38000000,656.55000000,652.77000000,654.75000000,21.12000000
1772628300000,2026-03-04T12:45:00+00:00,654.75000000,656.99000000,653.38000000,654.50000000,11.06000000
1772629200000,2026-03-04T13:00:00+00:00,654.75000000,662.31000000,654.75000000,658.43000000,74.34000000
1772630100000,2026-03-04T13:15:00+00:00,658.08000000,658.71000000,658.08000000,658.70000000,0.11000000
1772631000000,2026-03-04T13:30:00+00:00,658.70000000,659.09000000,657.95000000,658.62000000,2.41000000
1772631900000,2026-03-04T13:45:00+00:00,658.62000000,658.62000000,658.62000000,658.62000000,0.00000000
1772632800000,2026-03-04T14:00:00+00:00,658.62000000,659.07000000,657.43000000,658.10000000,0.60000000
1772633700000,2026-03-04T14:15:00+00:00,657.97000000,657.97000000,657.28000000,657.29000000,0.48000000
1772634600000,2026-03-04T14:30:00+00:00,658.50000000,665.91000000,658.50000000,659.98000000,6.35000000
1772635500000,2026-03-04T14:45:00+00:00,659.98000000,665.90000000,658.86000000,665.89000000,4.58000000
1772636400000,2026-03-04T15:00:00+00:00,666.83000000,668.58000000,665.89000000,667.56000000,2.23000000
1772637300000,2026-03-04T15:15:00+00:00,665.89000000,670.91000000,665.76000000,670.91000000,8.93000000
1772638200000,2026-03-04T15:30:00+00:00,672.12000000,672.12000000,668.24000000,668.24000000,2.27000000
1772639100000,2026-03-04T15:45:00+00:00,668.88000000,671.38000000,667.81000000,671.27000000,2.79000000
1772640000000,2026-03-04T16:00:00+00:00,671.02000000,672.52000000,669.96000000,670.17000000,2.66000000
1772640900000,2026-03-04T16:15:00+00:00,670.36000000,671.15000000,669.56000000,670.98000000,4.35000000
1772641800000,2026-03-04T16:30:00+00:00,670.88000000,671.78000000,669.91000000,671.40000000,5.16000000
1772642700000,2026-03-04T16:45:00+00:00,671.33000000,671.86000000,669.95000000,669.96000000,3.13000000
1772643600000,2026-03-04T17:00:00+00:00,669.54000000,670.82000000,669.33000000,669.78000000,1.16000000
1772644500000,2026-03-04T17:15:00+00:00,669.84000000,669.84000000,668.07000000,668.53000000,3.23000000
1772645400000,2026-03-04T17:30:00+00:00,668.31000000,668.31000000,666.31000000,666.40000000,2.00000000
1772646300000,2026-03-04T17:45:00+00:00,666.78000000,667.59000000,666.51000000,666.81000000,2.13000000
1772647200000,2026-03-04T18:00:00+00:00,667.61000000,667.67000000,666.57000000,667.11000000,1.57000000
1772648100000,2026-03-04T18:15:00+00:00,667.14000000,668.71000000,666.71000000,668.71000000,3.64000000
1772649000000,2026-03-04T18:30:00+00:00,668.92000000,668.92000000,667.40000000,667.40000000,0.88000000
1772649900000,2026-03-04T18:45:00+00:00,668.46000000,668.46000000,666.73000000,666.73000000,1.48000000
1772650800000,2026-03-04T19:00:00+00:00,667.60000000,668.26000000,667.57000000,668.02000000,1.28000000
1772651700000,2026-03-04T19:15:00+00:00,668.91000000,670.90000000,668.87000000,670.26000000,1.69000000
1772652600000,2026-03-04T19:30:00+00:00,669.38000000,669.38000000,667.62000000,667.62000000,1.18000000
1772653500000,2026-03-04T19:45:00+00:00,668.18000000,669.03000000,667.80000000,668.97000000,0.18000000
1772654400000,2026-03-04T20:00:00+00:00,668.47000000,669.07000000,666.53000000,666.53000000,1.36000000
1772655300000,2026-03-04T20:15:00+00:00,665.66000000,666.94000000,665.47000000,666.94000000,0.40000000
1772656200000,2026-03-04T20:30:00+00:00,666.90000000,668.76000000,666.56000000,668.76000000,0.36000000
1772657100000,2026-03-04T20:45:00+00:00,669.12000000,669.28000000,666.69000000,667.63000000,1.47000000
1772658000000,2026-03-04T21:00:00+00:00,667.76000000,676.22000000,665.56000000,666.67000000,11.10000000
1772658900000,2026-03-04T21:15:00+00:00,667.70000000,674.16000000,666.19000000,667.93000000,10.79000000
1772659800000,2026-03-04T21:30:00+00:00,668.04000000,671.42000000,659.63000000,667.24000000,3.78000000
1772660700000,2026-03-04T21:45:00+00:00,667.01000000,670.94000000,659.78000000,667.32000000,0.72000000
1772661600000,2026-03-04T22:00:00+00:00,669.35000000,679.10000000,666.74000000,668.19000000,4.97000000
1772662500000,2026-03-04T22:15:00+00:00,667.78000000,670.18000000,666.20000000,670.18000000,0.71000000
1772663400000,2026-03-04T22:30:00+00:00,667.12000000,677.89000000,666.26000000,667.61000000,3.21000000
1772664300000,2026-03-04T22:45:00+00:00,669.78000000,672.95000000,660.23000000,666.38000000,8.14000000
1772665200000,2026-03-04T23:00:00+00:00,666.98000000,668.04000000,664.52000000,668.04000000,0.96000000
1772666100000,2026-03-04T23:15:00+00:00,667.25000000,667.41000000,665.81000000,666.91000000,2.80000000
1772667000000,2026-03-04T23:30:00+00:00,667.21000000,670.73000000,665.98000000,667.70000000,1.19000000
1772667900000,2026-03-04T23:45:00+00:00,666.43000000,669.47000000,664.02000000,666.77000000,1.77000000
1772668800000,2026-03-05T00:00:00+00:00,666.25000000,667.78000000,666.25000000,667.78000000,0.16000000
1772669700000,2026-03-05T00:15:00+00:00,667.24000000,670.12000000,660.87000000,667.43000000,3.55000000
1772670600000,2026-03-05T00:30:00+00:00,670.87000000,670.87000000,662.80000000,667.96000000,2.36000000
1772671500000,2026-03-05T00:45:00+00:00,667.95000000,669.08000000,663.85000000,667.27000000,1.62000000
1772672400000,2026-03-05T01:00:00+00:00,669.07000000,679.81000000,659.86000000,667.95000000,19.11000000
1772673300000,2026-03-05T01:15:00+00:00,666.69000000,670.24000000,663.85000000,666.05000000,6.16000000
1772674200000,2026-03-05T01:30:00+00:00,665.85000000,679.73000000,652.91000000,665.58000000,799.75000000
1772675100000,2026-03-05T01:45:00+00:00,665.68000000,668.06000000,662.95000000,663.75000000,3.95000000
1772676000000,2026-03-05T02:00:00+00:00,668.14000000,668.14000000,663.68000000,665.52000000,3.48000000
1772676900000,2026-03-05T02:15:00+00:00,665.70000000,666.19000000,664.86000000,664.86000000,0.50000000
1772677800000,2026-03-05T02:30:00+00:00,663.87000000,663.87000000,663.66000000,663.74000000,0.07000000
1772678700000,2026-03-05T02:45:00+00:00,665.87000000,669.37000000,664.65000000,666.27000000,2.19000000
1772679600000,2026-03-05T03:00:00+00:00,668.79000000,669.17000000,664.63000000,664.63000000,10.22000000
