open_time_ms,open_time_iso,open,high,low,close,volume
1778144400000,2026-05-07T09:00:00+00:00,1748.00000000,2997.60000000,1505.80000000,1875.00000000,3121.96000000
1778145300000,2026-05-07T09:15:00+00:00,1874.90000000,2078.90000000,1833.10000000,1923.00000000,1375.09000000
1778146200000,2026-05-07T09:30:00+00:00,1923.10000000,2190.00000000,1923.00000000,2181.00000000,1003.03000000
1778147100000,2026-05-07T09:45:00+00:00,2180.10000000,2200.00000000,2021.50000000,2063.30000000,1255.95000000
1778148000000,2026-05-07T10:00:00+00:00,2063.30000000,2117.70000000,2028.10000000,2117.70000000,617.75000000
1778148900000,2026-05-07T10:15:00+00:00,2117.00000000,2148.30000000,2052.30000000,2057.30000000,548.84000000
1778149800000,2026-05-07T10:30:00+00:00,2057.40000000,2109.40000000,2054.30000000,2098.50000000,313.67000000
1778150700000,2026-05-07T10:45:00+00:00,2097.80000000,2134.20000000,2051.00000000,2054.40000000,358.12000000
1778151600000,2026-05-07T11:00:00+00:00,2055.00000000,2079.00000000,2052.20000000,2075.00000000,161.97000000
1778152500000,2026-05-07T11:15:00+00:00,2074.00000000,2075.10000000,2052.40000000,2061.80000000,169.94000000
1778153400000,2026-05-07T11:30:00+00:00,2062.50000000,2075.00000000,2059.00000000,2061.50000000,77.05000000
1778154300000,2026-05-07T11:45:00+00:00,2060.60000000,2065.90000000,2030.00000000,2045.00000000,279.11000000
1778155200000,2026-05-07T12:00:00+00:00,2046.00000000,2054.40000000,2033.70000000,2051.80000000,71.70000000
1778156100000,2026-05-07T12:15:00+00:00,2051.80000000,2100.00000000,2036.00000000,2077.70000000,167.75000000
1778157000000,2026-05-07T12:30:00+00:00,2078.50000000,2090.00000000,2075.00000000,2078.00000000,66.54000000
1778157900000,2026-05-07T12:45:00+00:00,2078.30000000,2081.10000000,2054.00000000,2054.10000000,90.22000000
1778158800000,2026-05-07T13:00:00+00:00,2054.00000000,2055.70000000,1999.00000000,2007.50000000,290.78000000
1778159700000,2026-05-07T13:15:00+00:00,2007.50000000,2016.00000000,1951.00000000,1998.50000000,323.82000000
1778160600000,2026-05-07T13:30:00+00:00,1998.50000000,2020.00000000,1996.00000000,2016.00000000,99.88000000
1778161500000,2026-05-07T13:45:00+00:00,2016.00000000,2021.50000000,1995.00000000,1996.10000000,89.44000000
1778162400000,2026-05-07T14:00:00+00:00,1996.90000000,2001.00000000,1990.00000000,2000.90000000,124.06000000
