open_time_ms,open_time_iso,open,high,low,close,volume
1769610600000,2026-01-28T14:30:00+00:00,445.60000000,445.60000000,430.20000000,439.88000000,55152.09000000
1769611500000,2026-01-28T14:45:00+00:00,439.88000000,440.50000000,437.07000000,438.94000000,23548.09000000
1769612400000,2026-01-28T15:00:00+00:00,438.93000000,439.23000000,436.00000000,436.10000000,16119.78000000
1769613300000,2026-01-28T15:15:00+00:00,436.05000000,436.74000000,435.15000000,435.34000000,11841.98000000
1769614200000,2026-01-28T15:30:00+00:00,435.34000000,435.43000000,432.41000000,433.91000000,10772.96000000
1769615100000,2026-01-28T15:45:00+00:00,433.91000000,434.04000000,432.30000000,433.70000000,6961.00000000
1769616000000,2026-01-28T16:00:00+00:00,433.74000000,434.53000000,432.80000000,433.14000000,5785.41000000
1769616900000,2026-01-28T16:15:00+00:00,433.13000000,434.85000000,432.29000000,434.74000000,6624.53000000
1769617800000,2026-01-28T16:30:00+00:00,434.71000000,434.84000000,432.87000000,433.18000000,5113.19000000
1769618700000,2026-01-28T16:45:00+00:00,433.18000000,434.31000000,433.07000000,434.00000000,2993.40000000
1769619600000,2026-01-28T17:00:00+00:00,434.02000000,436.08000000,434.00000000,436.08000000,3474.81000000
1769620500000,2026-01-28T17:15:00+00:00,436.08000000,436.08000000,433.30000000,433.70000000,2312.67000000
1769621400000,2026-01-28T17:30:00+00:00,433.69000000,433.71000000,432.60000000,433.59000000,2334.67000000
1769622300000,2026-01-28T17:45:00+00:00,433.59000000,433.93000000,433.11000000,433.15000000,2541.09000000
1769623200000,2026-01-28T18:00:00+00:00,433.15000000,435.63000000,432.68000000,435.52000000,4778.20000000
1769624100000,2026-01-28T18:15:00+00:00,435.52000000,435.60000000,434.68000000,435.23000000,2981.93000000
1769625000000,2026-01-28T18:30:00+00:00,435.24000000,435.67000000,434.63000000,435.49000000,3199.69000000
1769625900000,2026-01-28T18:45:00+00:00,435.50000000,435.59000000,435.01000000,435.17000000,3113.41000000
1769626800000,2026-01-28T19:00:00+00:00,435.05000000,435.11000000,433.52000000,434.06000000,7348.53000000
1769627700000,2026-01-28T19:15:00+00:00,434.07000000,435.67000000,433.70000000,433.71000000,2768.83000000
1769628600000,2026-01-28T19:30:00+00:00,433.71000000,434.40000000,432.48000000,433.73000000,7128.24000000
1769629500000,2026-01-28T19:45:00+00:00,433.74000000,436.05000000,433.69000000,434.70000000,4305.63000000
1769630400000,2026-01-28T20:00:00+00:00,434.67000000,435.99000000,434.57000000,434.84000000,3154.15000000
1769631300000,2026-01-28T20:15:00+00:00,434.84000000,435.22000000,434.23000000,434.51000000,1202.41000000
1769632200000,2026-01-28T20:30:00+00:00,434.50000000,434.51000000,433.50000000,433.91000000,1525.12000000
1769633100000,2026-01-28T20:45:00+00:00,433.90000000,434.66000000,431.19000000,431.37000000,2877.56000000
1769634000000,2026-01-28T21:00:00+00:00,431.38000000,445.38000000,420.00000000,441.35000000,22157.99000000
1769634900000,2026-01-28T21:15:00+00:00,441.34000000,444.32000000,438.64000000,442.47000000,5411.57000000
1769635800000,2026-01-28T21:30:00+00:00,442.48000000,443.69000000,441.66000000,443.25000000,3433.38000000
1769636700000,2026-01-28T21:45:00+00:00,443.25000000,445.58000000,441.94000000,445.31000000,3421.11000000
1769637600000,2026-01-28T22:00:00+00:00,445.32000000,447.36000000,444.47000000,445.82000000,3086.48000000
1769638500000,2026-01-28T22:15:00+00:00,445.83000000,449.00000000,444.62000000,448.22000000,2603.20000000
1769639400000,2026-01-28T22:30:00+00:00,448.22000000,448.69000000,441.85000000,442.39000000,3967.02000000
1769640300000,2026-01-28T22:45:00+00:00,442.39000000,442.99000000,433.31000000,435.48000000,3616.65000000
1769641200000,2026-01-28T23:00:00+00:00,435.48000000,443.55000000,435.48000000,440.65000000,5251.04000000
1769642100000,2026-01-28T23:15:00+00:00,440.64000000,442.29000000,437.93000000,438.68000000,3187.70000000
1769643000000,2026-01-28T23:30:00+00:00,438.67000000,440.37000000,438.00000000,438.55000000,2004.12000000
1769643900000,2026-01-28T23:45:00+00:00,438.53000000,438.74000000,435.22000000,436.43000000,1968.43000000
1769644800000,2026-01-29T00:00:00+00:00,436.43000000,437.34000000,435.64000000,436.86000000,2356.69000000
1769645700000,2026-01-29T00:15:00+00:00,436.86000000,438.46000000,436.27000000,438.46000000,1597.01000000
1769646600000,2026-01-29T00:30:00+00:00,438.47000000,438.53000000,437.67000000,438.20000000,1031.01000000
1769647500000,2026-01-29T00:45:00+00:00,438.20000000,440.16000000,438.08000000,440.01000000,1482.99000000
1769648400000,2026-01-29T01:00:00+00:00,440.00000000,441.94000000,439.42000000,441.67000000,1354.68000000
1769649300000,2026-01-29T01:15:00+00:00,441.74000000,442.00000000,438.42000000,439.31000000,1289.22000000
1769650200000,2026-01-29T01:30:00+00:00,439.31000000,439.55000000,437.44000000,438.52000000,713.34000000
1769651100000,2026-01-29T01:45:00+00:00,438.54000000,439.13000000,438.18000000,438.51000000,733.89000000
