open_time_ms,open_time_iso,open,high,low,close,volume
1775484000000,2026-04-06T14:00:00+00:00,342.50000000,344.30000000,340.87000000,342.80000000,975.45000000
1775484900000,2026-04-06T14:15:00+00:00,341.60000000,343.70000000,341.60000000,343.37000000,247.45000000
1775485800000,2026-04-06T14:30:00+00:00,343.37000000,343.84000000,342.01000000,342.25000000,130.37000000
1775486700000,2026-04-06T14:45:00+00:00,342.07000000,342.32000000,341.13000000,342.05000000,100.86000000
1775487600000,2026-04-06T15:00:00+00:00,342.04000000,342.75000000,341.16000000,341.33000000,89.05000000
1775488500000,2026-04-06T15:15:00+00:00,341.33000000,341.69000000,340.63000000,340.96000000,98.34000000
1775489400000,2026-04-06T15:30:00+00:00,341.15000000,341.48000000,340.54000000,341.08000000,35.42000000
1775490300000,2026-04-06T15:45:00+00:00,341.32000000,342.53000000,341.05000000,341.80000000,52.45000000
1775491200000,2026-04-06T16:00:00+00:00,342.11000000,342.24000000,341.05000000,341.10000000,55.25000000
1775492100000,2026-04-06T16:15:00+00:00,341.19000000,341.55000000,340.92000000,341.33000000,29.77000000
1775493000000,2026-04-06T16:30:00+00:00,341.03000000,341.64000000,340.76000000,341.47000000,37.91000000
1775493900000,2026-04-06T16:45:00+00:00,341.20000000,341.48000000,340.58000000,340.67000000,45.93000000
1775494800000,2026-04-06T17:00:00+00:00,340.67000000,341.05000000,338.65000000,339.23000000,107.21000000
1775495700000,2026-04-06T17:15:00+00:00,339.34000000,341.04000000,338.93000000,341.04000000,15.72000000
1775496600000,2026-04-06T17:30:00+00:00,340.62000000,341.27000000,340.18000000,340.31000000,36.14000000
1775497500000,2026-04-06T17:45:00+00:00,340.44000000,340.44000000,339.72000000,340.13000000,18.58000000
1775498400000,2026-04-06T18:00:00+00:00,340.08000000,340.90000000,339.57000000,340.63000000,69.61000000
1775499300000,2026-04-06T18:15:00+00:00,340.63000000,341.37000000,340.55000000,340.75000000,20.36000000
1775500200000,2026-04-06T18:30:00+00:00,340.93000000,341.16000000,340.41000000,340.44000000,15.91000000
1775501100000,2026-04-06T18:45:00+00:00,340.61000000,340.86000000,340.30000000,340.51000000,6.49000000
1775502000000,2026-04-06T19:00:00+00:00,340.51000000,340.64000000,339.98000000,340.28000000,22.36000000
1775502900000,2026-04-06T19:15:00+00:00,340.48000000,340.60000000,340.28000000,340.42000000,12.87000000
1775503800000,2026-04-06T19:30:00+00:00,340.48000000,340.69000000,339.97000000,340.29000000,30.52000000
1775504700000,2026-04-06T19:45:00+00:00,340.27000000,341.77000000,340.16000000,341.77000000,51.92000000
1775505600000,2026-04-06T20:00:00+00:00,341.82000000,341.82000000,340.91000000,341.38000000,12.63000000
1775506500000,2026-04-06T20:15:00+00:00,341.45000000,341.88000000,341.00000000,341.43000000,76.47000000
1775507400000,2026-04-06T20:30:00+00:00,341.43000000,342.08000000,340.20000000,341.09000000,88.29000000
1775508300000,2026-04-06T20:45:00+00:00,341.27000000,341.35000000,341.20000000,341.35000000,2.06000000
1775509200000,2026-04-06T21:00:00+00:00,341.35000000,341.46000000,341.25000000,341.42000000,5.58000000
1775510100000,2026-04-06T21:15:00+00:00,341.57000000,342.65000000,341.46000000,342.48000000,22.29000000
1775511000000,2026-04-06T21:30:00+00:00,342.53000000,342.61000000,341.98000000,341.98000000,26.27000000
1775511900000,2026-04-06T21:45:00+00:00,342.13000000,342.36000000,341.97000000,342.33000000,31.70000000
1775512800000,2026-04-06T22:00:00+00:00,342.48000000,342.64000000,342.13000000,342.16000000,11.92000000
1775513700000,2026-04-06T22:15:00+00:00,342.15000000,342.80000000,341.82000000,341.84000000,22.89000000
1775514600000,2026-04-06T22:30:00+00:00,341.84000000,341.86000000,341.32000000,341.86000000,14.89000000
1775515500000,2026-04-06T22:45:00+00:00,341.70000000,341.73000000,341.49000000,341.49000000,6.10000000
1775516400000,2026-04-06T23:00:00+00:00,341.46000000,341.90000000,341.22000000,341.72000000,50.08000000
1775517300000,2026-04-06T23:15:00+00:00,341.58000000,342.03000000,341.55000000,341.86000000,17.76000000
1775518200000,2026-04-06T23:30:00+00:00,341.98000000,341.98000000,341.73000000,341.75000000,25.97000000
1775519100000,2026-04-06T23:45:00+00:00,341.76000000,341.88000000,341.73000000,341.87000000,9.93000000
1775520000000,2026-04-07T00:00:00+00:00,341.75000000,341.99000000,339.59000000,341.92000000,87.96000000
1775520900000,2026-04-07T00:15:00+00:00,341.91000000,343.23000000,341.89000000,342.68000000,66.72000000
1775521800000,2026-04-07T00:30:00+00:00,342.74000000,342.74000000,341.50000000,342.10000000,16.35000000
1775522700000,2026-04-07T00:45:00+00:00,341.92000000,342.26000000,341.92000000,342.16000000,4.98000000
1775523600000,2026-04-07T01:00:00+00:00,342.03000000,342.18000000,340.27000000,340.96000000,55.84000000
1775524500000,2026-04-07T01:15:00+00:00,340.96000000,341.01000000,340.37000000,340.60000000,6.85000000
1775525400000,2026-04-07T01:30:00+00:00,340.61000000,341.60000000,339.69000000,339.69000000,29.91000000
1775526300000,2026-04-07T01:45:00+00:00,339.83000000,339.83000000,338.03000000,338.03000000,19.79000000
1775527200000,2026-04-07T02:00:00+00:00,338.14000000,339.05000000,336.69000000,337.52000000,66.77000000
1775528100000,2026-04-07T02:15:00+00:00,337.53000000,339.18000000,337.53000000,339.02000000,21.43000000
1775529000000,2026-04-07T02:30:00+00:00,339.13000000,339.16000000,338.80000000,339.00000000,8.21000000
1775529900000,2026-04-07T02:45:00+00:00,339.15000000,339.97000000,339.10000000,339.45000000,12.06000000
1775530800000,2026-04-07T03:00:00+00:00,339.52000000,339.83000000,338.89000000,339.08000000,5.53000000
1775531700000,2026-04-07T03:15:00+00:00,339.15000000,339.15000000,338.80000000,339.03000000,3.75000000
1775532600000,2026-04-07T03:30:00+00:00,339.30000000,348.46000000,336.33000000,339.33000000,154.83000000
1775533500000,2026-04-07T03:45:00+00:00,339.42000000,339.43000000,339.24000000,339.37000000,4.94000000
1775534400000,2026-04-07T04:00:00+00:00,339.29000000,339.44000000,338.85000000,339.04000000,30.38000000
1775535300000,2026-04-07T04:15:00+00:00,339.04000000,339.04000000,338.65000000,338.99000000,4.83000000
1775536200000,2026-04-07T04:30:00+00:00,339.00000000,339.44000000,338.91000000,339.20000000,15.31000000
1775537100000,2026-04-07T04:45:00+00:00,339.43000000,339.44000000,339.13000000,339.13000000,12.48000000
1775538000000,2026-04-07T05:00:00+00:00,339.15000000,339.32000000,339.06000000,339.24000000,9.48000000
1775538900000,2026-04-07T05:15:00+00:00,339.17000000,339.44000000,339.06000000,339.31000000,27.21000000
1775539800000,2026-04-07T05:30:00+00:00,339.27000000,339.44000000,338.97000000,339.44000000,31.35000000
1775540700000,2026-04-07T05:45:00+00:00,339.32000000,340.04000000,338.76000000,339.74000000,43.49000000
1775541600000,2026-04-07T06:00:00+00:00,339.59000000,341.15000000,339.35000000,339.98000000,22.59000000
1775542500000,2026-04-07T06:15:00+00:00,339.86000000,340.80000000,339.70000000,340.49000000,4.89000000
1775543400000,2026-04-07T06:30:00+00:00,340.55000000,341.45000000,339.35000000,340.26000000,70.88000000
1775544300000,2026-04-07T06:45:00+00:00,340.26000000,340.65000000,339.94000000,340.56000000,7.06000000
1775545200000,2026-04-07T07:00:00+00:00,340.56000000,341.21000000,340.03000000,340.40000000,56.36000000
1775546100000,2026-04-07T07:15:00+00:00,340.27000000,340.45000000,340.05000000,340.06000000,3.60000000
1775547000000,2026-04-07T07:30:00+00:00,340.06000000,340.52000000,339.92000000,340.31000000,18.53000000
1775547900000,2026-04-07T07:45:00+00:00,340.32000000,340.59000000,339.69000000,340.25000000,26.19000000
