open_time_ms,open_time_iso,open,high,low,close,volume
1775484000000,2026-04-06T14:00:00+00:00,342.50000000,344.30000000,340.87000000,342.05000000,1454.13000000
1775487600000,2026-04-06T15:00:00+00:00,342.04000000,342.75000000,340.54000000,341.80000000,275.26000000
1775491200000,2026-04-06T16:00:00+00:00,342.11000000,342.24000000,340.58000000,340.67000000,168.86000000
1775494800000,2026-04-06T17:00:00+00:00,340.67000000,341.27000000,338.65000000,340.13000000,177.65000000
1775498400000,2026-04-06T18:00:00+00:00,340.08000000,341.37000000,339.57000000,340.51000000,112.37000000
1775502000000,2026-04-06T19:00:00+00:00,340.51000000,341.77000000,339.97000000,341.77000000,117.67000000
1775505600000,2026-04-06T20:00:00+00:00,341.82000000,342.08000000,340.20000000,341.35000000,179.45000000
1775509200000,2026-04-06T21:00:00+00:00,341.35000000,342.65000000,341.25000000,342.33000000,85.84000000
1775512800000,2026-04-06T22:00:00+00:00,342.48000000,342.80000000,341.32000000,341.49000000,55.80000000
1775516400000,2026-04-06T23:00:00+00:00,341.46000000,342.03000000,341.22000000,341.87000000,103.74000000
1775520000000,2026-04-07T00:00:00+00:00,341.75000000,343.23000000,339.59000000,342.16000000,176.01000000
1775523600000,2026-04-07T01:00:00+00:00,342.03000000,342.18000000,338.03000000,338.03000000,112.39000000
1775527200000,2026-04-07T02:00:00+00:00,338.14000000,339.97000000,336.69000000,339.45000000,108.47000000
1775530800000,2026-04-07T03:00:00+00:00,339.52000000,348.46000000,336.33000000,339.37000000,169.05000000
1775534400000,2026-04-07T04:00:00+00:00,339.29000000,339.44000000,338.65000000,339.13000000,63.00000000
1775538000000,2026-04-07T05:00:00+00:00,339.15000000,340.04000000,338.76000000,339.74000000,111.53000000
1775541600000,2026-04-07T06:00:00+00:00,339.59000000,341.45000000,339.35000000,340.56000000,105.42000000
1775545200000,2026-04-07T07:00:00+00:00,340.56000000,341.21000000,339.69000000,340.25000000,104.68000000
